ID	Host_domain
NC_001338	Archaea
NC_001902	Archaea
NC_002628	Archaea
NC_003158	Archaea
NC_003214	Archaea
NC_003345	Archaea
NC_004084	Archaea
NC_004086	Archaea
NC_004087	Archaea
NC_004927	Archaea
NC_005265	Archaea
NC_005360	Archaea
NC_005361	Archaea
NC_005872	Archaea
NC_005892	Archaea
NC_006268	Archaea
NC_006556	Archaea
NC_007217	Archaea
NC_007409	Archaea
NC_007914	Archaea
NC_007918	Archaea
NC_008695	Archaea
NC_009452	Archaea
NC_009597	Archaea
NC_009884	Archaea
NC_009965	Archaea
NC_009986	Archaea
NC_010152	Archaea
NC_010153	Archaea
NC_010154	Archaea
NC_010155	Archaea
NC_010342	Archaea
NC_010537	Archaea
NC_011217	Archaea
NC_012558	Archaea
NC_013585	Archaea
NC_013587	Archaea
NC_013588	Archaea
NC_013758	Archaea
NC_014099	Archaea
NC_014321	Archaea
NC_014322	Archaea
NC_016899	Archaea
NC_016989	Archaea
NC_017087	Archaea
NC_017088	Archaea
NC_017089	Archaea
NC_017090	Archaea
NC_019413	Archaea
NC_020077	Archaea
NC_020158	Archaea
NC_020159	Archaea
NC_020882	Archaea
NC_020998	Archaea
NC_021319	Archaea
NC_021320	Archaea
NC_021321	Archaea
NC_021322	Archaea
NC_021327	Archaea
NC_021328	Archaea
NC_021329	Archaea
NC_021330	Archaea
NC_021335	Archaea
NC_021340	Archaea
NC_021471	Archaea
NC_021537	Archaea
NC_023585	Archaea
NC_023592	Archaea
NC_025213	Archaea
NC_025375	Archaea
NC_028256	Archaea
NC_028268	Archaea
NC_028787	Archaea
NC_028938	Archaea
NC_028992	Archaea
NC_029011	Archaea
NC_029020	Archaea
NC_029027	Archaea
NC_029103	Archaea
NC_029314	Archaea
NC_029316	Archaea
NC_029548	Archaea
NC_030848	Archaea
NC_030884	Archaea
NC_034619	Archaea
NC_034620	Archaea
NC_034621	Archaea
NC_034623	Archaea
NC_034624	Archaea
NC_034625	Archaea
NC_034627	Archaea
NC_034628	Archaea
NC_036595	Archaea
NC_038017	Archaea
NC_042347	Archaea
NC_043030	Archaea
NC_043427	Archaea
NC_047943	Archaea
NC_048037	Archaea
NC_048127	Archaea
NC_048128	Archaea
NC_048156	Archaea
NC_048157	Archaea
NC_048158	Archaea
NC_048160	Archaea
NC_048199	Archaea
NC_052650	Archaea
NC_000866	Bacteria
NC_000867	Bacteria
NC_000871	Bacteria
NC_000872	Bacteria
NC_000896	Bacteria
NC_000902	Bacteria
NC_000924	Bacteria
NC_000929	Bacteria
NC_000935	Bacteria
NC_001271	Bacteria
NC_001317	Bacteria
NC_001330	Bacteria
NC_001331	Bacteria
NC_001332	Bacteria
NC_001335	Bacteria
NC_001396	Bacteria
NC_001416	Bacteria
NC_001417	Bacteria
NC_001418	Bacteria
NC_001420	Bacteria
NC_001421	Bacteria
NC_001422	Bacteria
NC_001423	Bacteria
NC_001426	Bacteria
NC_001604	Bacteria
NC_001609	Bacteria
NC_001628	Bacteria
NC_001629	Bacteria
NC_001697	Bacteria
NC_001706	Bacteria
NC_001730	Bacteria
NC_001741	Bacteria
NC_001825	Bacteria
NC_001835	Bacteria
NC_001884	Bacteria
NC_001890	Bacteria
NC_001895	Bacteria
NC_001900	Bacteria
NC_001901	Bacteria
NC_001909	Bacteria
NC_001954	Bacteria
NC_001956	Bacteria
NC_001978	Bacteria
NC_001998	Bacteria
NC_002014	Bacteria
NC_002072	Bacteria
NC_002166	Bacteria
NC_002167	Bacteria
NC_002180	Bacteria
NC_002185	Bacteria
NC_002194	Bacteria
NC_002214	Bacteria
NC_002321	Bacteria
NC_002362	Bacteria
NC_002363	Bacteria
NC_002371	Bacteria
NC_002484	Bacteria
NC_002486	Bacteria
NC_002519	Bacteria
NC_002643	Bacteria
NC_002649	Bacteria
NC_002656	Bacteria
NC_002661	Bacteria
NC_002666	Bacteria
NC_002667	Bacteria
NC_002668	Bacteria
NC_002669	Bacteria
NC_002670	Bacteria
NC_002671	Bacteria
NC_002700	Bacteria
NC_002703	Bacteria
NC_002730	Bacteria
NC_002747	Bacteria
NC_002796	Bacteria
NC_003050	Bacteria
NC_003085	Bacteria
NC_003157	Bacteria
NC_003216	Bacteria
NC_003278	Bacteria
NC_003287	Bacteria
NC_003288	Bacteria
NC_003291	Bacteria
NC_003298	Bacteria
NC_003299	Bacteria
NC_003300	Bacteria
NC_003301	Bacteria
NC_003309	Bacteria
NC_003313	Bacteria
NC_003315	Bacteria
NC_003324	Bacteria
NC_003327	Bacteria
NC_003356	Bacteria
NC_003387	Bacteria
NC_003390	Bacteria
NC_003444	Bacteria
NC_003460	Bacteria
NC_003524	Bacteria
NC_003714	Bacteria
NC_003715	Bacteria
NC_003716	Bacteria
NC_003907	Bacteria
NC_004066	Bacteria
NC_004112	Bacteria
NC_004165	Bacteria
NC_004166	Bacteria
NC_004167	Bacteria
NC_004170	Bacteria
NC_004171	Bacteria
NC_004172	Bacteria
NC_004173	Bacteria
NC_004174	Bacteria
NC_004175	Bacteria
NC_004301	Bacteria
NC_004302	Bacteria
NC_004303	Bacteria
NC_004305	Bacteria
NC_004306	Bacteria
NC_004313	Bacteria
NC_004333	Bacteria
NC_004348	Bacteria
NC_004456	Bacteria
NC_004462	Bacteria
NC_004466	Bacteria
NC_004584	Bacteria
NC_004585	Bacteria
NC_004586	Bacteria
NC_004587	Bacteria
NC_004588	Bacteria
NC_004589	Bacteria
NC_004615	Bacteria
NC_004616	Bacteria
NC_004617	Bacteria
NC_004629	Bacteria
NC_004664	Bacteria
NC_004665	Bacteria
NC_004678	Bacteria
NC_004679	Bacteria
NC_004680	Bacteria
NC_004681	Bacteria
NC_004682	Bacteria
NC_004683	Bacteria
NC_004684	Bacteria
NC_004685	Bacteria
NC_004686	Bacteria
NC_004687	Bacteria
NC_004688	Bacteria
NC_004689	Bacteria
NC_004735	Bacteria
NC_004736	Bacteria
NC_004740	Bacteria
NC_004745	Bacteria
NC_004746	Bacteria
NC_004775	Bacteria
NC_004777	Bacteria
NC_004813	Bacteria
NC_004814	Bacteria
NC_004820	Bacteria
NC_004821	Bacteria
NC_004827	Bacteria
NC_004831	Bacteria
NC_004902	Bacteria
NC_004913	Bacteria
NC_004914	Bacteria
NC_004928	Bacteria
NC_004996	Bacteria
NC_005045	Bacteria
NC_005056	Bacteria
NC_005066	Bacteria
NC_005069	Bacteria
NC_005083	Bacteria
NC_005091	Bacteria
NC_005131	Bacteria
NC_005135	Bacteria
NC_005178	Bacteria
NC_005258	Bacteria
NC_005259	Bacteria
NC_005260	Bacteria
NC_005262	Bacteria
NC_005263	Bacteria
NC_005282	Bacteria
NC_005284	Bacteria
NC_005294	Bacteria
NC_005340	Bacteria
NC_005342	Bacteria
NC_005344	Bacteria
NC_005345	Bacteria
NC_005354	Bacteria
NC_005355	Bacteria
NC_005356	Bacteria
NC_005357	Bacteria
NC_005822	Bacteria
NC_005833	Bacteria
NC_005841	Bacteria
NC_005856	Bacteria
NC_005857	Bacteria
NC_005859	Bacteria
NC_005879	Bacteria
NC_005880	Bacteria
NC_005882	Bacteria
NC_005884	Bacteria
NC_005885	Bacteria
NC_005886	Bacteria
NC_005887	Bacteria
NC_005891	Bacteria
NC_005893	Bacteria
NC_005948	Bacteria
NC_005949	Bacteria
NC_006294	Bacteria
NC_006356	Bacteria
NC_006548	Bacteria
NC_006552	Bacteria
NC_006557	Bacteria
NC_006565	Bacteria
NC_006820	Bacteria
NC_006882	Bacteria
NC_006883	Bacteria
NC_006884	Bacteria
NC_006936	Bacteria
NC_006938	Bacteria
NC_006940	Bacteria
NC_006945	Bacteria
NC_006949	Bacteria
NC_006953	Bacteria
NC_007019	Bacteria
NC_007021	Bacteria
NC_007022	Bacteria
NC_007023	Bacteria
NC_007024	Bacteria
NC_007045	Bacteria
NC_007046	Bacteria
NC_007047	Bacteria
NC_007048	Bacteria
NC_007049	Bacteria
NC_007050	Bacteria
NC_007051	Bacteria
NC_007052	Bacteria
NC_007053	Bacteria
NC_007054	Bacteria
NC_007055	Bacteria
NC_007056	Bacteria
NC_007057	Bacteria
NC_007058	Bacteria
NC_007059	Bacteria
NC_007060	Bacteria
NC_007061	Bacteria
NC_007062	Bacteria
NC_007063	Bacteria
NC_007064	Bacteria
NC_007065	Bacteria
NC_007066	Bacteria
NC_007145	Bacteria
NC_007149	Bacteria
NC_007189	Bacteria
NC_007291	Bacteria
NC_007451	Bacteria
NC_007456	Bacteria
NC_007458	Bacteria
NC_007461	Bacteria
NC_007497	Bacteria
NC_007501	Bacteria
NC_007581	Bacteria
NC_007603	Bacteria
NC_007610	Bacteria
NC_007623	Bacteria
NC_007636	Bacteria
NC_007637	Bacteria
NC_007709	Bacteria
NC_007710	Bacteria
NC_007734	Bacteria
NC_007804	Bacteria
NC_007805	Bacteria
NC_007806	Bacteria
NC_007807	Bacteria
NC_007808	Bacteria
NC_007809	Bacteria
NC_007810	Bacteria
NC_007814	Bacteria
NC_007817	Bacteria
NC_007818	Bacteria
NC_007819	Bacteria
NC_007820	Bacteria
NC_007821	Bacteria
NC_007822	Bacteria
NC_007823	Bacteria
NC_007824	Bacteria
NC_007825	Bacteria
NC_007827	Bacteria
NC_007856	Bacteria
NC_007902	Bacteria
NC_007917	Bacteria
NC_007924	Bacteria
NC_007967	Bacteria
