ID	CDSs_AUGUSTUS_HUMAN
NC_001338	3
NC_001902	7
NC_002628	14
NC_003158	19
NC_003214	10
NC_003345	64
NC_004084	55
NC_004086	1
NC_004087	3
NC_004927	67
NC_005265	3
NC_005360	3
NC_005361	2
NC_005872	5
NC_005892	4
NC_006268	13
NC_006556	4
NC_007217	23
NC_007409	25
NC_007914	7
NC_007918	9
NC_008695	34
NC_009452	4
NC_009597	6
NC_009884	7
NC_009965	12
NC_009986	2
NC_010152	9
NC_010153	10
NC_010154	10
NC_010155	9
NC_010342	31
NC_010537	3
NC_011217	2
NC_012558	6
NC_013585	6
NC_013587	2
NC_013588	4
NC_013758	7
NC_014099	3
NC_014321	6
NC_014322	9
NC_016899	11
NC_016989	22
NC_017087	10
NC_017088	6
NC_017089	7
NC_017090	8
NC_019413	10
NC_020077	12
NC_020158	84
NC_020159	58
NC_020882	3
NC_020998	23
NC_021319	48
NC_021320	67
NC_021321	64
NC_021322	37
NC_021327	79
NC_021328	129
NC_021329	34
NC_021330	83
NC_021335	54
NC_021340	51
NC_021471	32
NC_021537	30
NC_023585	7
NC_023592	7
NC_025213	6
NC_025375	4
NC_028256	4
NC_028268	13
NC_028787	4
NC_028938	2
NC_028992	15
NC_029011	9
NC_029020	18
NC_029027	10
NC_029103	25
NC_029314	7
NC_029316	13
NC_029548	3
NC_030848	20
NC_030884	2
NC_034619	1
NC_034620	3
NC_034621	1
NC_034623	4
NC_034624	1
NC_034625	3
NC_034627	1
NC_034628	1
NC_036595	6
NC_038017	1
NC_042347	1
NC_043030	1
NC_043427	3
NC_047943	11
NC_048037	3
NC_048127	6
NC_048128	8
NC_048156	7
NC_048157	8
NC_048158	6
NC_048160	12
NC_048199	4
NC_052650	56
NC_000866	79
NC_000867	7
NC_000871	19
NC_000872	20
NC_000896	14
NC_000902	27
NC_000924	30
NC_000929	26
NC_000935	16
NC_001271	23
NC_001317	24
NC_001330	4
NC_001331	6
NC_001332	3
NC_001335	43
NC_001396	6
NC_001416	31
NC_001417	1
NC_001418	2
NC_001420	4
NC_001421	6
NC_001422	3
NC_001423	9
NC_001426	2
NC_001604	21
NC_001609	6
NC_001628	1
NC_001629	7
NC_001697	16
NC_001706	5
NC_001730	4
NC_001741	1
NC_001825	9
NC_001835	11
NC_001884	42
NC_001890	2
NC_001895	19
NC_001900	40
NC_001901	31
NC_001909	10
NC_001954	3
NC_001956	2
NC_001978	33
NC_001998	3
NC_002014	1
NC_002072	12
NC_002166	24
NC_002167	23
NC_002180	3
NC_002185	18
NC_002194	2
NC_002214	15
NC_002321	21
NC_002362	5
NC_002363	3
NC_002371	21
NC_002484	53
NC_002486	17
NC_002519	16
NC_002643	2
NC_002649	7
NC_002656	46
NC_002661	14
NC_002666	15
NC_002667	17
NC_002668	12
NC_002669	6
NC_002670	7
NC_002671	4
NC_002700	3
NC_002703	19
NC_002730	21
NC_002747	17
NC_002796	10
NC_003050	14
NC_003085	49
NC_003157	19
NC_003216	25
NC_003278	29
NC_003287	3
NC_003288	14
NC_003291	11
NC_003298	18
NC_003299	6
NC_003300	4
NC_003301	3
NC_003309	54
NC_003313	25
NC_003315	17
NC_003324	38
NC_003327	2
NC_003356	20
NC_003387	48
NC_003390	22
NC_003444	16
NC_003460	4
NC_003524	3
NC_003714	3
NC_003715	2
NC_003716	2
NC_003907	23
NC_004066	19
NC_004112	20
NC_004165	10
NC_004166	23
NC_004167	26
NC_004170	4
NC_004171	2
NC_004172	4
NC_004173	4
NC_004174	3
NC_004175	2
NC_004301	2
NC_004302	15
NC_004303	18
NC_004305	32
NC_004306	5
NC_004313	21
NC_004333	47
NC_004348	21
NC_004456	24
NC_004462	20
NC_004466	23
NC_004584	17
NC_004585	20
NC_004586	15
NC_004587	18
NC_004588	13
NC_004589	15
NC_004615	17
NC_004616	13
NC_004617	14
NC_004629	119
NC_004664	32
NC_004665	24
NC_004678	5
NC_004679	6
NC_004680	47
NC_004681	72
NC_004682	44
NC_004683	50
NC_004684	58
NC_004685	70
NC_004686	49
NC_004687	140
NC_004688	100
NC_004689	58
NC_004735	68
NC_004736	2
NC_004740	11
NC_004745	21
NC_004746	17
NC_004775	20
NC_004777	16
NC_004813	33
NC_004814	6
NC_004820	28
NC_004821	10
NC_004827	28
NC_004831	17
NC_004902	18
NC_004913	27
NC_004914	28
NC_004928	96
NC_004996	19
NC_005045	31
NC_005056	22
NC_005066	108
NC_005069	17
NC_005083	189
NC_005091	45
NC_005131	5
NC_005135	127
NC_005178	29
NC_005258	11
NC_005259	62
NC_005260	176
NC_005262	53
NC_005263	51
NC_005282	33
NC_005284	52
NC_005294	23
NC_005340	20
NC_005342	42
NC_005344	18
NC_005345	45
NC_005354	18
NC_005355	16
NC_005356	11
NC_005357	34
NC_005822	17
NC_005833	30
NC_005841	19
NC_005856	53
NC_005857	26
NC_005859	56
NC_005879	27
NC_005880	27
NC_005882	35
NC_005884	17
NC_005885	47
NC_005886	39
NC_005887	29
NC_005891	28
NC_005893	17
NC_005948	4
NC_005949	6
NC_006294	3
NC_006356	2
NC_006548	34
NC_006552	42
NC_006557	20
NC_006565	44
NC_006820	72
NC_006882	14
NC_006883	54
NC_006884	43
NC_006936	19
NC_006938	49
NC_006940	19
NC_006945	10
NC_006949	24
NC_006953	17
NC_007019	14
NC_007021	15
NC_007022	125
NC_007023	125
NC_007024	40
NC_007045	8
NC_007046	6
NC_007047	13
NC_007048	16
NC_007049	15
NC_007050	19
NC_007051	15
NC_007052	22
NC_007053	16
NC_007054	13
NC_007055	13
NC_007056	18
NC_007057	12
NC_007058	14
NC_007059	16
NC_007060	15
NC_007061	13
NC_007062	15
NC_007063	17
NC_007064	17
NC_007065	15
NC_007066	27
NC_007145	35
NC_007149	18
NC_007189	6
NC_007291	26
NC_007451	5
NC_007456	20
NC_007458	14
NC_007461	3
NC_007497	42
NC_007501	19
NC_007581	11
NC_007603	26
NC_007610	33
NC_007623	122
NC_007636	22
NC_007637	14
NC_007709	22
NC_007710	44
NC_007734	12
NC_007804	22
NC_007805	31
NC_007806	36
NC_007807	20
NC_007808	27
NC_007809	49
NC_007810	59
NC_007814	14
NC_007817	2
NC_007818	4
NC_007819	5
NC_007820	4
NC_007821	4
NC_007822	5
NC_007823	4
NC_007824	5
NC_007825	3
NC_007827	2
NC_007856	3
NC_007902	33
NC_007917	3
NC_007924	11
NC_007967	36
NC_008152	16
NC_008193	14
NC_008194	69
NC_008195	63
NC_008196	50
NC_008197	61
NC_008198	49
NC_008199	58
NC_008200	54
NC_008201	15
NC_008202	40
NC_008203	44
NC_008204	62
NC_008205	48
NC_008206	66
NC_008207	139
NC_008208	108
NC_008265	4
NC_008294	3
NC_008296	72
NC_008363	9
NC_008364	14
NC_008367	25
NC_008370	10
NC_008371	11
NC_008376	23
NC_008464	26
NC_008515	87
NC_008562	29
NC_008574	10
NC_008575	8
NC_008583	20
NC_008584	26
NC_008617	11
NC_008689	15
NC_008694	19
NC_008717	32
NC_008720	28
NC_008721	27
NC_008722	12
NC_008723	16
NC_008798	18
NC_008799	15
NC_009014	15
NC_009015	72
NC_009016	30
NC_009018	17
NC_009231	7
NC_009232	20
NC_009234	30
NC_009235	43
NC_009236	35
NC_009237	37
NC_009382	35
NC_009447	44
NC_009514	26
NC_009526	15
NC_009531	28
NC_009540	31
NC_009541	22
NC_009542	27
NC_009543	21
NC_009551	21
NC_009552	25
NC_009554	28
NC_009603	46
NC_009604	49
NC_009643	10
NC_009737	23
NC_009760	114
NC_009761	17
NC_009762	17
NC_009763	17
NC_009799	26
NC_009803	46
NC_009804	46
NC_009810	21
NC_009811	33
NC_009812	19
NC_009813	19
NC_009814	29
NC_009815	19
NC_009816	40
NC_009817	31
NC_009818	31
NC_009819	18
NC_009820	55
NC_009821	109
NC_009875	6
NC_009877	47
NC_009878	44
NC_009904	31
NC_009935	36
NC_009936	28
NC_009990	15
NC_009993	51
NC_010105	100
NC_010106	25
NC_010116	49
NC_010147	18
NC_010179	15
NC_010237	26
NC_010275	25
NC_010324	33
NC_010325	21
NC_010326	34
NC_010353	13
NC_010355	67
NC_010363	10
NC_010391	27
NC_010392	28
NC_010393	25
NC_010429	8
NC_010463	22
NC_010495	26
NC_010576	16
NC_010583	57
NC_010807	21
NC_010808	15
NC_010811	198
NC_010821	176
NC_010945	20
NC_011019	44
NC_011020	46
NC_011021	44
NC_011022	43
NC_011023	51
NC_011038	18
NC_011039	59
NC_011040	19
NC_011041	66
NC_011042	20
NC_011043	19
NC_011044	57
NC_011045	19
NC_011046	10
NC_011048	13
NC_011054	52
NC_011055	67
NC_011056	68
NC_011057	54
NC_011085	17
NC_011103	50
NC_011104	24
NC_011105	34
NC_011107	30
NC_011142	23
NC_011165	57
NC_011166	63
NC_011167	22
NC_011201	33
NC_011216	35
NC_011222	11
NC_011267	42
NC_011269	136
NC_011270	143
NC_011271	138
NC_011272	140
NC_011273	138
NC_011285	49
NC_011287	49
NC_011288	58
NC_011289	52
NC_011290	52
NC_011291	41
NC_011292	58
NC_011308	19
NC_011318	6
NC_011344	13
NC_011356	25
NC_011357	36
NC_011373	38
NC_011398	5
NC_011399	10
NC_011421	51
NC_011523	7
NC_011534	21
NC_011551	12
NC_011589	29
NC_011611	32
NC_011612	13
NC_011613	30
NC_011614	19
NC_011645	20
NC_011703	63
NC_011756	60
NC_011801	20
NC_011802	24
NC_011810	59
NC_011811	53
NC_011976	22
NC_012027	56
NC_012091	4
NC_012092	2
NC_012093	4
NC_012223	34
NC_012418	31
NC_012419	7
NC_012530	47
NC_012635	84
NC_012638	86
NC_012662	19
NC_012663	24
NC_012696	42
NC_012697	39
NC_012740	115
NC_012741	100
NC_012742	24
NC_012743	51
NC_012749	45
NC_012753	30
NC_012756	16
NC_012757	2
NC_012784	19
NC_012788	41
NC_012868	4
NC_012884	15
NC_013021	61
NC_013055	29
NC_013059	16
NC_013085	84
NC_013152	13
NC_013153	11
NC_013154	11
NC_013155	14
NC_013195	12
NC_013197	16
NC_013594	26
NC_013597	26
NC_013598	17
NC_013599	22
NC_013600	35
NC_013638	30
NC_013643	15
NC_013644	20
NC_013645	16
NC_013646	17
NC_013647	24
NC_013648	15
NC_013649	23
NC_013650	131
NC_013651	14
NC_013691	54
NC_013692	49
NC_013693	119
NC_013694	50
NC_013696	19
NC_013697	152
NC_013698	45
NC_013936	44
NC_014036	114
NC_014229	32
NC_014260	96
NC_014457	3
NC_014458	57
NC_014459	55
NC_014460	22
NC_014461	60
NC_014467	117
NC_014595	103
NC_014635	117
NC_014636	188
NC_014660	85
NC_014661	107
NC_014662	106
NC_014663	116
NC_014792	91
NC_014900	25
NC_014901	53
NC_015157	40
NC_015158	22
NC_015159	14
NC_015208	27
NC_015209	4
NC_015210	58
NC_015249	22
NC_015250	79
NC_015251	104
NC_015252	15
NC_015253	45
NC_015254	17
NC_015262	4
NC_015263	40
NC_015264	30
NC_015265	30
NC_015266	35
NC_015269	58
NC_015270	3
NC_015271	18
NC_015272	85
NC_015273	30
NC_015274	30
NC_015279	93
NC_015280	48
NC_015281	85
NC_015282	74
NC_015283	56
NC_015284	55
NC_015285	64
NC_015286	77
NC_015287	81
NC_015288	76
NC_015289	78
NC_015290	46
NC_015292	51
NC_015293	12
NC_015294	65
NC_015295	23
NC_015296	109
NC_015297	6
NC_015453	23
NC_015454	23
NC_015456	28
NC_015457	78
NC_015463	55
NC_015464	6
NC_015465	26
NC_015466	57
NC_015568	3
NC_015569	80
NC_015584	57
NC_015585	28
NC_015586	4
