ID	CDSs_GENEMARKS
NC_043427	19
NC_003345	131
NC_001902	23
NC_004084	111
NC_007914	4
NC_007918	4
NC_004087	2
NC_004086	2
NC_002628	27
NC_003214	2
NC_004927	130
NC_001338	3
NC_005265	2
NC_005361	3
NC_005360	1
NC_005892	1
NC_005872	35
NC_006268	4
NC_006556	30
NC_009884	2
NC_009965	1
NC_007409	13
NC_007217	57
NC_010155	7
NC_010152	7
NC_010153	5
NC_010154	6
NC_008695	78
NC_009597	17
NC_009452	2
NC_009986	2
NC_011217	1
NC_010342	56
NC_010537	2
NC_025375	1
NC_012558	11
NC_013587	1
NC_013588	1
NC_013585	1
NC_043030	15
NC_013758	12
NC_014099	1
NC_021537	68
NC_014322	28
NC_014321	15
NC_028268	54
NC_028256	21
NC_016899	31
NC_020077	5
NC_016989	58
NC_017087	19
NC_017088	14
NC_017089	14
NC_017090	20
NC_019413	36
NC_020159	130
NC_020158	180
NC_021471	58
NC_021330	166
NC_021319	89
NC_021327	167
NC_021328	251
NC_021322	82
NC_021340	97
NC_021329	73
NC_021320	127
NC_021335	129
NC_021321	141
NC_020998	53
NC_020882	11
NC_023585	7
NC_023592	12
NC_025213	12
NC_029020	36
NC_003158	40
NC_028938	1
NC_028787	1
NC_029314	1
NC_029103	8
NC_029011	11
NC_029027	7
NC_028992	25
NC_030848	56
NC_029316	8
NC_029548	16
NC_030884	2
NC_036595	34
NC_047943	22
NC_038017	1
NC_034625	2
NC_034624	2
NC_034628	2
NC_034621	2
NC_034627	2
NC_034619	2
NC_034623	2
NC_034620	2
NC_042347	1
NC_048160	31
NC_048037	2
NC_048128	8
NC_048127	2
NC_048157	18
NC_048158	19
NC_048156	19
NC_048199	1
NC_052650	103
NC_001422	7
NC_027637	2
NC_027636	8
NC_027635	6
NC_027634	3
NC_027633	1
NC_027648	9
NC_027647	5
NC_027646	6
NC_027645	7
NC_027644	5
NC_027643	6
NC_027642	7
NC_027641	7
NC_027640	6
NC_027639	4
NC_027638	4
NC_028902	5
NC_028994	1
NC_028993	6
NC_029014	5
NC_029012	4
NC_030458	8
NC_030472	6
NC_023586	23
NC_010429	15
NC_018862	8
NC_019453	4
NC_019548	15
NC_019707	4
NC_019922	4
NC_019920	5
NC_021562	7
NC_021569	17
NC_021797	2
NC_021793	1
NC_021805	1
NC_021866	11
NC_021862	23
NC_025454	16
NC_025824	5
NC_026013	1
NC_022790	2
NC_026582	7
NC_026613	8
NC_026612	7
NC_001730	7
NC_001418	7
NC_001956	7
NC_001998	2
NC_001890	5
NC_006294	8
NC_007821	8
NC_007856	6
NC_004306	12
NC_005948	13
NC_012868	7
NC_001741	1
NC_003300	8
NC_003299	8
NC_003301	9
NC_003327	7
NC_002194	2
NC_015785	3
NC_003460	12
NC_004173	7
NC_004175	9
NC_002700	4
NC_003287	5
NC_002363	11
NC_001628	4
NC_004736	9
NC_001954	8
NC_002180	2
NC_007189	17
NC_001330	7
NC_002014	8
NC_004301	6
NC_001420	7
NC_010391	47
NC_010392	56
NC_002362	11
NC_001835	2
NC_005131	17
NC_004172	6
NC_001332	6
NC_003714	7
NC_008574	19
NC_008575	13
NC_008294	5
NC_012757	10
NC_001426	5
NC_016162	5
NC_015297	11
NC_008363	3
NC_007817	6
NC_002643	8
NC_015586	15
NC_004171	12
NC_003715	6
NC_003716	12
NC_001331	17
NC_001396	18
NC_004174	6
NC_004170	8
NC_004586	10
NC_004820	13
NC_004821	4
NC_030476	2
NC_042068	7
NC_042069	10
NC_042070	8
NC_001417	5
NC_007461	3
NC_011399	20
NC_012091	7
NC_012092	10
NC_012093	5
NC_042071	7
NC_042072	8
NC_042073	10
NC_007818	7
NC_007819	8
NC_007820	8
NC_007822	8
NC_007823	8
NC_007824	7
NC_007825	8
NC_007827	7
NC_043028	14
NC_043029	17
NC_045425	12
NC_005949	13
NC_047765	18
NC_047800	66
NC_010393	58
NC_010463	46
NC_004584	14
NC_004585	14
NC_004587	22
NC_004588	16
NC_004589	19
NC_004740	2
NC_049947	55
NC_048167	49
NC_027368	45
NC_047883	18
NC_051725	89
NC_051726	75
NC_051731	85
NC_051732	87
NC_051733	82
NC_051734	85
NC_051735	84
NC_051736	84
NC_051737	83
NC_051740	81
NC_041920	74
NC_042307	43
NC_051610	105
NC_041851	60
NC_042135	63
NC_048630	46
NC_051724	112
NC_042115	91
NC_048201	51
NC_029119	7
NC_047856	42
NC_048647	166
NC_051591	99
NC_051672	114
NC_051719	114
NC_051628	105
NC_051613	89
NC_051713	111
NC_051654	112
NC_047797	46
NC_047801	46
NC_051638	105
NC_051709	106
NC_051707	106
NC_047980	49
NC_051673	115
NC_051602	110
NC_051698	112
NC_051604	111
NC_051605	108
NC_051601	109
NC_051627	111
NC_051599	114
NC_051606	103
NC_051607	105
NC_051598	103
NC_051620	111
NC_051711	109
NC_051616	107
NC_042013	191
NC_051614	108
NC_051653	114
NC_051704	111
NC_051717	109
NC_051646	110
NC_051722	121
NC_051696	107
NC_047896	16
NC_051693	107
NC_051660	109
NC_051702	113
NC_051621	109
NC_051595	104
NC_051632	113
NC_051692	121
NC_051611	103
NC_051721	107
NC_051686	103
NC_051634	112
NC_051594	104
NC_051695	112
NC_051612	100
NC_051647	119
NC_051682	104
NC_051636	116
NC_051641	111
NC_051681	113
NC_051674	106
NC_051588	108
NC_051615	108
NC_051643	105
NC_051694	113
NC_051706	113
NC_051640	99
NC_051665	116
NC_051580	117
NC_051597	108
NC_051664	112
NC_051675	100
NC_051680	105
NC_051596	107
NC_051652	117
NC_051663	108
NC_051669	116
NC_051689	104
NC_051703	114
NC_051710	114
NC_051661	116
NC_051587	102
NC_051676	120
NC_051639	113
NC_051593	106
NC_051691	116
NC_051633	116
NC_051583	99
NC_051683	113
NC_051678	112
NC_048135	54
NC_051585	104
NC_051657	108
NC_051626	105
NC_051718	111
NC_051720	111
NC_051589	103
NC_047938	76
NC_051699	116
NC_051701	117
NC_051619	119
NC_051624	112
NC_051625	108
NC_051645	110
NC_051697	102
NC_051714	110
NC_051656	121
NC_051592	94
NC_043767	101
NC_051667	125
NC_051700	117
NC_051679	107
NC_051649	111
NC_051739	90
NC_051618	114
NC_051608	104
NC_051738	85
NC_051629	113
NC_051630	109
NC_051631	108
NC_049456	102
NC_051670	110
NC_051690	105
NC_051582	108
NC_051623	107
NC_051600	103
NC_051659	119
NC_051671	105
NC_051684	110
NC_051685	104
NC_051715	116
NC_051729	86
NC_051635	108
NC_051642	110
NC_051648	114
NC_051651	112
NC_051655	108
NC_051712	115
NC_051584	105
NC_051728	85
NC_051581	113
NC_051586	109
NC_051666	115
NC_049496	163
NC_049497	171
NC_049495	160
NC_051677	101
NC_051637	116
NC_051590	101
NC_051603	110
NC_051727	84
NC_049341	59
NC_049342	58
NC_049343	43
NC_049344	57
NC_051716	100
NC_051650	111
NC_051622	118
NC_051617	110
NC_051730	80
NC_051723	109
NC_051609	106
NC_051662	109
NC_051668	107
NC_051687	113
NC_051688	113
NC_051705	114
NC_051708	114
NC_051644	110
NC_051658	107
NC_001421	28
NC_000867	10
NC_005856	94
NC_001895	41
NC_041848	46
NC_001609	12
NC_050152	111
NC_043027	12
NC_011421	45
NC_019457	57
NC_001697	18
NC_005345	90
NC_011103	113
NC_042564	7
NC_005178	62
NC_001416	53
NC_021190	66
NC_004167	34
NC_048631	32
NC_001978	61
NC_004166	52
NC_005859	60
NC_000924	71
NC_019414	92
NC_002166	62
NC_001825	14
NC_042114	11
NC_008720	43
NC_049976	3
NC_002371	59
NC_011048	11
NC_001423	12
NC_003298	45
NC_047864	45
NC_001604	47
NC_005344	57
NC_004165	5
NC_007581	7
NC_002649	3
NC_009554	59
NC_004615	5
NC_005822	3
NC_005294	32
NC_005340	41
NC_000896	3
NC_009799	66
NC_001900	95
NC_025419	27
NC_002484	106
NC_001706	5
NC_002796	3
NC_001335	107
NC_002703	4
NC_003278	50
NC_028700	19
NC_002747	3
NC_027979	27
NC_001629	4
NC_019456	52
NC_002167	56
NC_022757	49
NC_049346	3
NC_003216	8
NC_009810	9
NC_009811	7
NC_001901	63
NC_004302	3
NC_008515	27
NC_023744	109
NC_011534	45
NC_003085	89
NC_005066	160
NC_004112	57
NC_004305	47
NC_009526	6
NC_007021	5
NC_007047	7
NC_003444	52
NC_018856	57
NC_015274	38
NC_007050	5
NC_001909	3
NC_000872	9
NC_021857	50
NC_027983	26
NC_001884	7
NC_000935	29
NC_025448	31
NC_003313	45
NC_002321	3
NC_000871	12
NC_020197	13
NC_005083	316
NC_005282	26
NC_002214	15
NC_004303	11
NC_003387	99
NC_002072	14
NC_000902	72
NC_011222	12
NC_006949	60
NC_003356	53
NC_003288	12
NC_001271	48
NC_002185	12
NC_004066	6
NC_005135	213
NC_007023	218
NC_021529	271
NC_003050	18
NC_002486	2
NC_002661	2
NC_002519	47
NC_048892	11
NC_005355	2
NC_010179	4
NC_005354	4
NC_007501	44
NC_002656	96
NC_004735	87
NC_003390	62
NC_002670	4
NC_002666	2
NC_002667	4
NC_002668	3
NC_002669	3
NC_002671	1
NC_006548	57
NC_002730	49
NC_003315	19
NC_004996	17
NC_004629	66
NC_003291	3
NC_005069	44
NC_004348	59
NC_003157	23
NC_004313	60
NC_003324	73
NC_003309	85
NC_004616	4
NC_004617	4
NC_008152	40
NC_004466	73
NC_003524	2
NC_005357	53
NC_003907	71
NC_004913	73
NC_004914	82
NC_004831	48
NC_004813	69
NC_004665	46
NC_010821	415
NC_004678	1
NC_004679	1
NC_005045	62
NC_004680	121
NC_004681	154
NC_004682	100
NC_004683	98
NC_004684	100
NC_004685	132
NC_004686	120
NC_004687	268
NC_004688	247
NC_004689	118
NC_004456	63
NC_021856	129
NC_004333	69
NC_005259	110
NC_008370	2
NC_049349	2
NC_008371	4
NC_049348	4
NC_049347	3
NC_004775	46
NC_007053	3
NC_005841	54
NC_005880	9
NC_004664	67
NC_005260	284
NC_004777	42
NC_004745	40
NC_004827	45
NC_004814	5
NC_004902	70
NC_008208	126
NC_006936	26
NC_005258	13
NC_006820	73
NC_005262	82
NC_005091	81
NC_005263	75
NC_009540	61
NC_042024	2
NC_049809	6
NC_049943	74
NC_005284	87
NC_005857	62
NC_005356	4
NC_009877	94
NC_009878	97
NC_015251	73
NC_005879	52
NC_005342	69
NC_005891	51
NC_009016	58
NC_009231	3
NC_005882	57
NC_006883	29
NC_006884	18
NC_006882	9
NC_005884	34
NC_007623	201
NC_015250	73
NC_005887	54
NC_005893	51
NC_005885	87
NC_006938	94
NC_005886	76
NC_006552	81
NC_028900	2
NC_007066	8
NC_006940	64
NC_006557	29
NC_006356	2
NC_022989	32
NC_006565	32
NC_007019	21
NC_006945	13
NC_029080	8
NC_006953	37
NC_007451	28
NC_016434	97
NC_007917	2
NC_007045	1
NC_007046	1
NC_007048	7
NC_007049	6
NC_007051	13
NC_007052	5
NC_007054	4
NC_007055	7
NC_007056	11
NC_007057	10
NC_007058	10
NC_007059	8
NC_007060	11
NC_007061	9
NC_007062	8
NC_007063	12
NC_007064	11
NC_007065	8
NC_007022	212
NC_007024	83
NC_008798	7
NC_008799	9
NC_007709	64
NC_014467	211
NC_011802	57
NC_007149	37
NC_007610	8
NC_009812	3
NC_009813	7
NC_009814	32
NC_009815	8
NC_016163	25
NC_007710	80
NC_007145	60
NC_013055	52
NC_009643	20
NC_011551	28
NC_008562	91
NC_008193	30
NC_007804	50
NC_007456	49
NC_007636	49
NC_007637	44
NC_007814	4
NC_007805	67
NC_007806	60
NC_007807	31
NC_007808	56
NC_007809	90
NC_007810	98
NC_042060	63
NC_007458	4
NC_011976	53
NC_007497	81
NC_004746	3
NC_007603	56
NC_007734	5
NC_008689	3
NC_007924	8
NC_008376	44
NC_008694	41
NC_007967	61
NC_012884	13
NC_007902	62
NC_008194	152
NC_008207	256
NC_008203	105
NC_008195	107
NC_008202	66
NC_008197	110
NC_008198	91
NC_008200	93
NC_008205	113
NC_008199	110
NC_008204	98
NC_008206	162
NC_018853	62
NC_009541	47
NC_008201	30
NC_008464	70
NC_010147	10
NC_020878	12
NC_020874	8
NC_008296	93
NC_008364	8
NC_009816	86
NC_009935	68
NC_009936	69
NC_008583	6
NC_028913	5
NC_008617	2
NC_028864	9
NC_009817	9
NC_008717	61
NC_009542	53
NC_009737	45
NC_008265	2
NC_009818	55
NC_008722	5
NC_011041	157
NC_008723	3
NC_008367	56
NC_009819	21
