ID	Nucleic_acid
NC_001798	DNA
NC_001422	DNA
NC_029617	DNA
NC_017862	DNA
NC_029648	DNA
NC_017987	DNA
NC_017993	DNA
NC_017994	DNA
NC_017916	DNA
NC_017917	DNA
NC_017913	DNA
NC_011348	DNA
NC_017995	DNA
NC_017996	DNA
NC_017997	DNA
NC_029803	DNA
NC_029804	DNA
NC_029797	DNA
NC_029853	DNA
NC_029852	DNA
NC_018074	DNA
NC_018075	DNA
NC_018076	DNA
NC_029994	DNA
NC_029996	DNA
NC_029995	DNA
NC_029997	DNA
NC_035887	DNA
NC_035888	DNA
NC_029907	DNA
NC_030126	DNA
NC_030139	DNA
NC_030146	DNA
NC_030142	DNA
NC_030141	DNA
NC_030145	DNA
NC_030143	DNA
NC_030140	DNA
NC_030144	DNA
NC_030147	DNA
NC_030138	DNA
NC_030117	DNA
NC_030148	DNA
NC_030151	DNA
NC_030127	DNA
NC_030199	DNA
NC_030200	DNA
NC_030205	DNA
NC_030296	DNA
NC_030297	DNA
NC_018082	DNA
NC_018090	DNA
NC_018091	DNA
NC_030238	DNA
NC_030240	DNA
NC_030226	DNA
NC_027059	DNA
NC_023300	DNA
NC_023301	DNA
NC_023302	DNA
NC_023304	DNA
NC_023306	DNA
NC_023307	DNA
NC_023299	DNA
NC_023305	DNA
NC_023296	DNA
NC_023297	DNA
NC_023298	DNA
NC_023308	DNA
NC_023309	DNA
NC_023310	DNA
NC_023303	DNA
NC_023311	DNA
NC_027016	DNA
NC_027040	DNA
NC_023312	DNA
NC_026942	DNA
NC_026944	DNA
NC_026947	DNA
NC_026946	DNA
NC_026945	DNA
NC_026943	DNA
NC_027117	DNA
NC_027131	DNA
NC_027133	DNA
NC_027129	DNA
NC_027215	DNA
NC_027431	DNA
NC_027430	DNA
NC_027429	DNA
NC_027532	DNA
NC_027528	DNA
NC_027531	DNA
NC_027530	DNA
NC_027637	DNA
NC_027636	DNA
NC_027635	DNA
NC_027634	DNA
NC_027633	DNA
NC_027648	DNA
NC_027647	DNA
NC_027646	DNA
NC_027645	DNA
NC_027644	DNA
NC_027643	DNA
NC_027642	DNA
NC_027641	DNA
NC_027640	DNA
NC_027639	DNA
NC_027638	DNA
NC_027714	DNA
NC_027776	DNA
NC_027777	DNA
NC_027783	DNA
NC_027789	DNA
NC_027793	DNA
NC_027791	DNA
NC_027787	DNA
NC_027782	DNA
NC_027785	DNA
NC_027784	DNA
NC_027795	DNA
NC_027796	DNA
NC_027781	DNA
NC_027779	DNA
NC_027790	DNA
NC_027799	DNA
NC_027797	DNA
NC_027780	DNA
NC_027798	DNA
NC_027800	DNA
NC_027792	DNA
NC_027786	DNA
NC_027794	DNA
NC_027788	DNA
NC_027801	DNA
NC_027916	DNA
NC_027821	DNA
NC_027820	DNA
NC_029255	DNA
NC_027924	DNA
NC_027923	DNA
NC_027922	DNA
NC_028045	DNA
NC_028046	DNA
NC_028099	DNA
NC_028115	DNA
NC_028126	DNA
NC_028125	DNA
NC_028124	DNA
NC_028114	DNA
NC_028129	DNA
NC_028119	DNA
NC_028117	DNA
NC_028116	DNA
NC_028128	DNA
NC_028130	DNA
NC_028123	DNA
NC_028120	DNA
NC_028127	DNA
NC_028136	DNA
NC_028142	DNA
NC_028143	DNA
NC_028141	DNA
NC_028140	DNA
NC_028138	DNA
NC_004732	DNA
NC_028267	DNA
NC_028262	DNA
NC_028491	DNA
NC_028636	DNA
NC_028635	DNA
NC_028462	DNA
NC_028492	DNA
NC_028650	DNA
NC_028891	DNA
NC_028989	DNA
NC_028973	DNA
NC_028994	DNA
NC_028993	DNA
NC_029014	DNA
NC_029012	DNA
NC_028985	DNA
NC_029132	DNA
NC_029109	DNA
NC_029108	DNA
NC_029117	DNA
NC_029105	DNA
NC_037611	DNA
NC_029115	DNA
NC_029114	DNA
NC_029112	DNA
NC_029111	DNA
NC_029110	DNA
NC_029133	DNA
NC_029300	DNA
NC_029303	DNA
NC_029304	DNA
NC_029311	DNA
NC_029313	DNA
NC_023421	DNA
NC_033620	DNA
NC_033618	DNA
NC_033781	DNA
NC_033779	DNA
NC_033740	DNA
NC_033745	DNA
NC_033744	DNA
NC_033741	DNA
NC_033746	DNA
NC_033747	DNA
NC_033742	DNA
NC_033743	DNA
NC_033736	DNA
NC_033739	DNA
NC_033738	DNA
NC_018102	DNA
NC_018105	DNA
NC_033829	DNA
NC_018151	DNA
NC_034210	DNA
NC_034219	DNA
NC_034218	DNA
NC_034221	DNA
NC_034220	DNA
NC_018401	DNA
NC_018399	DNA
NC_034266	DNA
NC_034253	DNA
NC_034250	DNA
NC_034252	DNA
NC_034251	DNA
NC_018450	DNA
NC_018456	DNA
NC_018457	DNA
NC_034378	DNA
NC_023435	DNA
NC_023434	DNA
NC_023433	DNA
NC_023432	DNA
NC_023431	DNA
