ID	CDSs_MGA
NC_043427	49
NC_003345	111
NC_001902	38
NC_004084	96
NC_007914	24
NC_007918	26
NC_004087	47
NC_004086	54
NC_002628	41
NC_003214	74
NC_004927	109
NC_001338	28
NC_005265	25
NC_005361	25
NC_005360	31
NC_005892	36
NC_005872	46
NC_006268	74
NC_006556	37
NC_009884	48
NC_009965	30
NC_007409	64
NC_007217	48
NC_010155	62
NC_010152	62
NC_010153	54
NC_010154	58
NC_008695	65
NC_009597	21
NC_009452	40
NC_009986	25
NC_011217	24
NC_010342	51
NC_010537	72
NC_025375	38
NC_012558	9
NC_013587	28
NC_013588	25
NC_013585	31
NC_043030	14
NC_013758	8
NC_014099	29
NC_021537	61
NC_014322	39
NC_014321	15
NC_028268	51
NC_028256	21
NC_016899	31
NC_020077	75
NC_016989	47
NC_017087	11
NC_017088	10
NC_017089	8
NC_017090	13
NC_019413	32
NC_020159	94
NC_020158	159
NC_021471	45
NC_021330	149
NC_021319	74
NC_021327	154
NC_021328	242
NC_021322	64
NC_021340	82
NC_021329	65
NC_021320	103
NC_021335	100
NC_021321	116
NC_020998	43
NC_020882	18
NC_023585	54
NC_023592	8
NC_025213	11
NC_029020	63
NC_003158	30
NC_028938	46
NC_028787	56
NC_029314	43
NC_029103	84
NC_029011	63
NC_029027	63
NC_028992	52
NC_030848	44
NC_029316	90
NC_029548	38
NC_030884	45
NC_036595	34
NC_047943	20
NC_038017	33
NC_034625	49
NC_034624	49
NC_034628	54
NC_034621	56
NC_034627	56
NC_034619	51
NC_034623	58
NC_034620	57
NC_042347	37
NC_048160	24
NC_048037	58
NC_048128	58
NC_048127	50
NC_048157	13
NC_048158	13
NC_048156	14
NC_048199	43
NC_052650	88
NC_001422	6
NC_027637	5
NC_027636	4
NC_027635	5
NC_027634	6
NC_027633	6
NC_027648	4
NC_027647	5
NC_027646	5
NC_027645	7
NC_027644	7
NC_027643	5
NC_027642	7
NC_027641	6
NC_027640	7
NC_027639	5
NC_027638	6
NC_028902	4
NC_028994	5
NC_028993	8
NC_029014	5
NC_029012	5
NC_030458	6
NC_030472	6
NC_023586	15
NC_010429	11
NC_018862	5
NC_019453	2
NC_019548	11
NC_019707	2
NC_019922	3
NC_019920	3
NC_021562	10
NC_021569	14
NC_021797	12
NC_021793	26
NC_021805	12
NC_021866	8
NC_021862	16
NC_025454	13
NC_025824	9
NC_026013	6
NC_022790	7
NC_026582	7
NC_026613	6
NC_026612	5
NC_001730	7
NC_001418	8
NC_001956	9
NC_001998	6
NC_001890	3
NC_006294	9
NC_007821	8
NC_007856	6
NC_004306	12
NC_005948	13
NC_012868	8
NC_001741	6
NC_003300	6
NC_003299	7
NC_003301	7
NC_003327	12
NC_002194	5
NC_015785	8
NC_003460	8
NC_004173	6
NC_004175	7
NC_002700	3
NC_003287	8
NC_002363	10
NC_001628	3
NC_004736	11
NC_001954	11
NC_002180	6
NC_007189	14
NC_001330	8
NC_002014	8
NC_004301	4
NC_001420	6
NC_010391	54
NC_010392	56
NC_002362	12
NC_001835	55
NC_005131	11
NC_004172	4
NC_001332	8
NC_003714	4
NC_008574	15
NC_008575	10
NC_008294	2
NC_012757	13
NC_001426	4
NC_016162	11
NC_015297	9
NC_008363	54
NC_007817	7
NC_002643	5
NC_015586	11
NC_004171	5
NC_003715	5
NC_003716	6
NC_001331	10
NC_001396	15
NC_004174	5
NC_004170	5
NC_004586	53
NC_004820	89
NC_004821	52
NC_030476	6
NC_042068	5
NC_042069	7
NC_042070	6
NC_001417	3
NC_007461	5
NC_011399	14
NC_012091	6
NC_012092	6
NC_012093	5
NC_042071	5
NC_042072	7
NC_042073	6
NC_007818	8
NC_007819	7
NC_007820	8
NC_007822	8
NC_007823	8
NC_007824	8
NC_007825	6
NC_007827	8
NC_043028	13
NC_043029	15
NC_045425	6
NC_005949	13
NC_047765	14
NC_047800	58
NC_010393	55
NC_010463	42
NC_004584	59
NC_004585	60
NC_004587	65
NC_004588	60
NC_004589	52
NC_004740	64
NC_049947	59
NC_048167	49
NC_027368	44
NC_047883	52
NC_051725	77
NC_051726	65
NC_051731	75
NC_051732	78
NC_051733	73
NC_051734	72
NC_051735	72
NC_051736	73
NC_051737	76
NC_051740	71
NC_041920	268
NC_042307	145
NC_051610	94
NC_041851	55
NC_042135	56
NC_048630	59
NC_051724	94
NC_042115	81
NC_048201	48
NC_029119	154
NC_047856	43
NC_048647	207
NC_051591	91
NC_051672	93
NC_051719	95
NC_051628	94
NC_051613	74
NC_051713	91
NC_051654	95
NC_047797	45
NC_047801	45
NC_051638	90
NC_051709	90
NC_051707	85
NC_047980	50
NC_051673	99
NC_051602	95
NC_051698	89
NC_051604	95
NC_051605	91
NC_051601	94
NC_051627	94
NC_051599	97
NC_051606	92
NC_051607	93
NC_051598	91
NC_051620	97
NC_051711	90
NC_051616	93
NC_042013	838
NC_051614	96
NC_051653	91
NC_051704	91
NC_051717	87
NC_051646	92
NC_051722	102
NC_051696	93
NC_047896	51
NC_051693	92
NC_051660	97
NC_051702	91
NC_051621	93
NC_051595	91
NC_051632	91
NC_051692	97
NC_051611	95
NC_051721	88
NC_051686	87
NC_051634	95
NC_051594	92
NC_051695	88
NC_051612	88
NC_051647	95
NC_051682	86
NC_051636	96
NC_051641	90
NC_051681	92
NC_051674	87
NC_051588	100
NC_051615	96
NC_051643	86
NC_051694	95
NC_051706	94
NC_051640	80
NC_051665	97
NC_051580	106
NC_051597	91
NC_051664	88
NC_051675	78
NC_051680	85
NC_051596	86
NC_051652	98
NC_051663	90
NC_051669	92
NC_051689	85
NC_051703	93
NC_051710	94
NC_051661	96
NC_051587	94
NC_051676	102
NC_051639	88
NC_051593	91
NC_051691	90
NC_051633	91
NC_051583	91
NC_051683	95
NC_051678	92
NC_048135	48
NC_051585	95
NC_051657	94
NC_051626	92
NC_051718	93
NC_051720	91
NC_051589	89
NC_047938	85
NC_051699	99
NC_051701	94
NC_051619	100
NC_051624	98
NC_051625	95
NC_051645	91
NC_051697	90
NC_051714	89
NC_051656	100
NC_051592	86
NC_043767	86
NC_051667	103
NC_051700	97
NC_051679	85
NC_051649	86
NC_051739	80
NC_051618	99
NC_051608	89
NC_051738	76
NC_051629	96
NC_051630	96
NC_051631	92
NC_049456	98
NC_051670	93
NC_051690	89
NC_051582	95
NC_051623	93
NC_051600	88
NC_051659	97
NC_051671	87
NC_051684	94
NC_051685	87
NC_051715	101
NC_051729	74
NC_051635	88
NC_051642	92
NC_051648	97
NC_051651	92
NC_051655	95
NC_051712	93
NC_051584	95
NC_051728	74
NC_051581	103
NC_051586	101
NC_051666	95
NC_049496	203
NC_049497	208
NC_049495	201
NC_051677	81
NC_051637	93
NC_051590	93
NC_051603	96
NC_051727	74
NC_049341	49
NC_049342	52
NC_049343	40
NC_049344	54
NC_051716	86
NC_051650	94
NC_051622	98
NC_051617	97
NC_051730	73
NC_051723	94
NC_051609	90
NC_051662	88
NC_051668	90
NC_051687	97
NC_051688	99
NC_051705	89
NC_051708	100
NC_051644	95
NC_051658	92
NC_001421	23
NC_000867	17
NC_005856	97
NC_001895	40
NC_041848	41
NC_001609	14
NC_050152	100
NC_043027	303
NC_011421	195
NC_019457	67
NC_001697	43
NC_005345	84
NC_011103	96
NC_042564	24
NC_005178	55
NC_001416	60
NC_021190	63
NC_004167	51
NC_048631	48
NC_001978	51
NC_004166	75
NC_005859	174
NC_000924	79
NC_019414	81
NC_002166	62
NC_001825	25
NC_042114	28
NC_008720	71
NC_049976	24
NC_002371	59
NC_011048	25
NC_001423	25
NC_003298	44
NC_047864	43
NC_001604	47
NC_005344	58
NC_004165	24
NC_007581	204
NC_002649	31
NC_009554	56
NC_004615	67
NC_005822	48
NC_005294	72
NC_005340	39
NC_000896	67
NC_009799	60
NC_001900	78
NC_025419	267
NC_002484	96
NC_001706	36
NC_002796	50
NC_001335	90
NC_002703	55
NC_003278	41
NC_028700	65
NC_002747	56
NC_027979	268
NC_001629	39
NC_019456	67
NC_002167	55
NC_022757	54
NC_049346	47
NC_003216	65
NC_009810	60
NC_009811	193
NC_001901	59
NC_004302	49
NC_008515	259
NC_023744	94
NC_011534	45
NC_003085	81
NC_005066	270
NC_004112	66
NC_004305	63
NC_009526	67
NC_007021	181
NC_007047	67
NC_003444	53
NC_018856	268
NC_015274	76
NC_007050	66
NC_001909	60
NC_000872	55
NC_021857	53
NC_027983	263
NC_001884	187
NC_000935	38
NC_025448	263
NC_003313	43
NC_002321	64
NC_000871	47
NC_020197	60
NC_005083	386
NC_005282	126
NC_002214	52
NC_004303	57
NC_003387	84
NC_002072	44
NC_000902	75
NC_011222	59
NC_006949	68
NC_003356	60
NC_003288	65
NC_001271	46
NC_002185	47
NC_004066	63
NC_005135	250
NC_007023	289
NC_021529	401
NC_003050	52
NC_002486	70
NC_002661	68
NC_002519	58
NC_048892	86
NC_005355	51
NC_010179	65
NC_005354	53
NC_007501	49
NC_002656	83
NC_004735	138
