ID	CDSs_AUGUSTUS_ECOLI
NC_001338	3
NC_001902	6
NC_002628	9
NC_003158	25
NC_003214	6
NC_003345	84
NC_004084	85
NC_004086	2
NC_004087	2
NC_004927	83
NC_005265	5
NC_005360	5
NC_005361	3
NC_005872	9
NC_005892	4
NC_006268	7
NC_006556	4
NC_007217	36
NC_007409	20
NC_007914	8
NC_007918	12
NC_008695	50
NC_009452	6
NC_009597	9
NC_009884	6
NC_009965	9
NC_009986	1
NC_010152	9
NC_010153	8
NC_010154	8
NC_010155	12
NC_010342	50
NC_010537	6
NC_011217	4
NC_012558	6
NC_013585	4
NC_013587	4
NC_013588	3
NC_013758	7
NC_014099	3
NC_014321	6
NC_014322	5
NC_016899	13
NC_016989	37
NC_017087	9
NC_017088	6
NC_017089	7
NC_017090	10
NC_019413	23
NC_020077	9
NC_020158	123
NC_020159	83
NC_020882	3
NC_020998	34
NC_021319	68
NC_021320	85
NC_021321	83
NC_021322	57
NC_021327	115
NC_021328	183
NC_021329	46
NC_021330	112
NC_021335	82
NC_021340	62
NC_021471	44
NC_021537	46
NC_023585	8
NC_023592	9
NC_025213	8
NC_025375	2
NC_028256	2
NC_028268	8
NC_028787	7
NC_028938	3
NC_028992	12
NC_029011	14
NC_029020	23
NC_029027	13
NC_029103	22
NC_029314	6
NC_029316	12
NC_029548	3
NC_030848	38
NC_030884	1
NC_034619	3
NC_034620	2
NC_034621	2
NC_034623	3
NC_034624	4
NC_034625	2
NC_034627	2
NC_034628	2
NC_036595	4
NC_038017	3
NC_042347	1
NC_043030	2
NC_047943	8
NC_048037	4
NC_048127	8
NC_048128	10
NC_048156	7
NC_048157	7
NC_048158	6
NC_048160	16
NC_048199	4
NC_052650	80
NC_000866	158
NC_000867	11
NC_000871	31
NC_000872	37
NC_000896	28
NC_000902	54
NC_000924	58
NC_000929	49
NC_000935	30
NC_001271	35
NC_001317	37
NC_001330	8
NC_001331	12
NC_001332	8
NC_001335	74
NC_001396	7
NC_001416	50
NC_001417	2
NC_001418	6
NC_001420	5
NC_001421	23
NC_001422	5
NC_001423	17
NC_001426	2
NC_001604	36
NC_001609	10
NC_001628	1
NC_001629	21
NC_001697	37
NC_001706	20
NC_001730	8
NC_001825	16
NC_001835	24
NC_001884	63
NC_001890	2
NC_001895	34
NC_001900	62
NC_001901	50
NC_001909	29
NC_001954	8
NC_001956	8
NC_001978	43
NC_001998	1
NC_002014	7
NC_002072	30
NC_002166	45
NC_002167	45
NC_002180	2
NC_002185	29
NC_002194	2
NC_002214	35
NC_002321	26
NC_002362	12
NC_002363	10
NC_002371	48
NC_002484	69
NC_002486	28
NC_002519	34
NC_002643	3
NC_002649	15
NC_002656	65
NC_002661	23
NC_002666	24
NC_002667	27
NC_002668	28
NC_002669	10
NC_002670	12
NC_002671	12
NC_002700	3
NC_002703	32
NC_002730	39
NC_002747	26
NC_002796	22
NC_003050	33
NC_003085	66
NC_003157	39
NC_003216	35
NC_003278	38
NC_003287	6
NC_003288	35
NC_003291	26
NC_003298	40
NC_003299	6
NC_003300	6
NC_003301	6
NC_003309	59
NC_003313	37
NC_003315	35
NC_003324	56
NC_003327	7
NC_003356	50
NC_003387	77
NC_003390	34
NC_003444	48
NC_003460	7
NC_003524	1
NC_003714	3
NC_003715	5
NC_003716	4
NC_003907	54
NC_004066	29
NC_004112	47
NC_004165	17
NC_004166	32
NC_004167	33
NC_004170	5
NC_004171	6
NC_004172	4
NC_004173	6
NC_004174	3
NC_004175	7
NC_004301	1
NC_004302	30
NC_004303	36
NC_004305	47
NC_004306	8
NC_004313	51
NC_004333	62
NC_004348	47
NC_004456	56
NC_004462	21
NC_004466	46
NC_004584	35
NC_004585	36
NC_004586	30
NC_004587	38
NC_004588	34
NC_004589	34
NC_004615	38
NC_004616	22
NC_004617	24
NC_004629	230
NC_004664	45
NC_004665	34
NC_004678	8
NC_004679	8
NC_004680	82
NC_004681	108
NC_004682	67
NC_004683	73
NC_004684	82
NC_004685	101
NC_004686	71
NC_004687	211
NC_004688	154
NC_004689	81
NC_004735	118
NC_004736	8
NC_004740	25
NC_004745	34
NC_004746	28
NC_004775	42
NC_004777	36
NC_004813	55
NC_004814	10
NC_004820	55
NC_004821	21
NC_004827	51
