ID	CDSs_METAPRODIGAL
NC_001338	33
NC_001902	39
NC_002628	46
NC_003158	34
NC_003214	70
NC_003345	113
NC_004084	97
NC_004086	54
NC_004087	47
NC_004927	112
NC_005265	28
NC_005360	31
NC_005361	27
NC_005872	49
NC_005892	37
NC_006268	75
NC_006556	40
NC_007217	48
NC_007409	66
NC_007914	25
NC_007918	21
NC_008695	64
NC_009452	45
NC_009597	22
NC_009884	51
NC_009965	31
NC_009986	26
NC_010152	63
NC_010153	57
NC_010154	60
NC_010155	66
NC_010342	52
NC_010537	71
NC_011217	28
NC_012558	8
NC_013585	35
NC_013587	30
NC_013588	27
NC_013758	10
NC_014099	32
NC_014321	14
NC_014322	41
NC_016899	31
NC_016989	47
NC_017087	13
NC_017088	12
NC_017089	8
NC_017090	15
NC_019413	34
NC_020077	76
NC_020158	160
NC_020159	99
NC_020882	23
NC_020998	43
NC_021319	75
NC_021320	110
NC_021321	121
NC_021322	61
NC_021327	156
NC_021328	243
NC_021329	67
NC_021330	147
NC_021335	102
NC_021340	82
NC_021471	49
NC_021537	58
NC_023585	53
NC_023592	10
NC_025213	12
NC_025375	36
NC_028256	24
NC_028268	52
NC_028787	58
NC_028938	44
NC_028992	59
NC_029011	66
NC_029020	62
NC_029027	64
NC_029103	84
NC_029314	43
NC_029316	94
NC_029548	40
NC_030848	45
NC_030884	47
NC_034619	52
NC_034620	58
NC_034621	57
NC_034623	61
NC_034624	50
NC_034625	49
NC_034627	56
NC_034628	54
NC_036595	34
NC_038017	39
NC_042347	37
NC_043030	14
NC_043427	55
NC_047943	20
NC_048037	62
NC_048127	54
NC_048128	66
NC_048156	16
NC_048157	13
NC_048158	15
NC_048160	27
NC_048199	48
NC_052650	91
NC_000866	265
NC_000867	19
NC_000871	46
NC_000872	54
NC_000896	66
NC_000902	85
NC_000924	87
NC_000929	55
NC_000935	39
NC_001271	46
NC_001317	41
NC_001330	10
NC_001331	13
NC_001332	10
NC_001335	89
NC_001396	17
NC_001416	62
NC_001417	3
NC_001418	9
NC_001420	6
NC_001421	26
NC_001422	7
NC_001423	25
NC_001426	3
NC_001604	50
NC_001609	14
NC_001628	3
NC_001629	39
NC_001697	43
NC_001706	37
NC_001730	9
NC_001741	6
NC_001825	27
NC_001835	56
NC_001884	178
NC_001890	5
NC_001895	43
NC_001900	77
NC_001901	59
NC_001909	61
NC_001954	13
NC_001956	11
NC_001978	47
NC_001998	6
NC_002014	9
NC_002072	43
NC_002166	66
NC_002167	59
NC_002180	5
NC_002185	45
NC_002194	5
NC_002214	52
NC_002321	64
NC_002362	13
NC_002363	11
NC_002371	66
NC_002484	95
NC_002486	68
NC_002519	56
NC_002643	5
NC_002649	32
NC_002656	84
NC_002661	68
NC_002666	59
NC_002667	57
NC_002668	57
NC_002669	26
NC_002670	22
NC_002671	26
NC_002700	3
NC_002703	52
NC_002730	55
NC_002747	55
NC_002796	50
NC_003050	52
NC_003085	79
NC_003157	67
NC_003216	66
NC_003278	43
NC_003287	8
NC_003288	65
NC_003291	61
NC_003298	43
NC_003299	7
NC_003300	7
NC_003301	7
NC_003309	72
NC_003313	44
NC_003315	41
NC_003324	64
NC_003327	14
NC_003356	63
NC_003387	86
NC_003390	55
NC_003444	52
NC_003460	10
NC_003524	52
NC_003714	6
NC_003715	5
NC_003716	7
NC_003907	72
NC_004066	62
NC_004112	64
NC_004165	24
NC_004166	80
NC_004167	57
NC_004170	7
NC_004171	7
NC_004172	4
NC_004173	6
NC_004174	5
NC_004175	8
