Genome	TP	FP	FN
NC_001798	46	38	31
NC_030692	3	2	3
NC_027892	2	4	4
NC_029642	2	2	4
NC_001607	3	2	3
NC_001422	6	1	3
NC_029549	0	1	1
NC_029550	1	1	0
NC_029551	1	0	0
NC_029552	1	0	0
NC_029553	0	1	1
NC_029570	1	0	0
NC_029554	0	1	1
NC_029555	1	1	0
NC_029558	0	1	1
NC_029559	1	0	0
NC_029560	1	0	0
NC_029561	1	0	0
NC_029571	1	0	0
NC_029572	0	1	1
NC_029573	1	0	0
NC_029567	0	1	1
NC_029562	0	1	1
NC_029568	0	1	1
NC_029563	1	0	0
NC_029564	1	0	0
NC_029565	0	1	1
NC_029566	1	0	0
NC_029556	0	1	1
NC_029557	0	1	1
NC_029569	1	0	0
NC_029574	1	0	0
NC_029575	1	0	0
NC_029578	0	4	0
NC_029617	3	4	0
NC_030691	2	3	4
NC_017862	3	3	4
NC_017936	1	1	1
NC_017937	3	3	5
NC_017938	0	1	1
NC_017939	1	0	0
NC_029648	2	1	4
NC_017977	0	1	2
NC_017967	1	0	1
NC_017970	0	1	2
NC_017988	0	1	1
NC_017989	1	0	0
NC_017987	1	1	5
NC_017993	3	3	4
NC_017994	4	1	3
NC_029691	2	3	4
NC_017916	3	0	2
NC_017914	1	3	4
NC_017917	1	3	3
NC_017913	2	1	0
NC_011348	3	1	2
NC_017995	4	2	3
NC_017996	4	2	3
NC_017997	6	1	1
NC_017990	0	1	1
NC_017991	0	1	1
NC_029803	1	2	1
NC_029804	3	0	3
NC_029783	7	1	5
NC_029782	0	1	1
NC_029797	0	2	3
NC_029799	0	1	1
NC_029800	2	0	0
NC_038232	2	0	0
NC_029802	1	0	0
NC_029801	2	0	0
NC_018072	1	1	1
NC_018071	2	0	0
NC_018070	0	1	1
NC_029853	1	3	1
NC_029852	2	3	2
NC_029854	1	0	0
NC_018074	4	2	2
NC_018075	3	2	3
NC_018076	5	0	1
NC_029994	3	1	3
NC_029991	1	0	0
NC_029996	93	35	52
NC_029995	2	1	4
NC_029993	2	3	3
NC_029992	5	7	9
NC_029997	84	23	35
NC_029936	1	0	0
NC_029931	1	0	0
NC_029935	1	0	0
NC_029900	4	1	1
NC_029901	0	1	1
NC_037612	0	1	1
NC_037613	2	1	0
NC_029903	0	1	1
NC_037614	1	0	0
NC_037615	2	0	0
NC_029932	1	0	0
NC_029933	1	0	0
NC_036636	0	1	1
NC_029921	1	0	0
NC_029922	0	1	1
NC_029923	0	1	1
NC_029924	0	1	1
NC_029925	0	1	1
NC_029928	0	1	1
NC_029929	0	2	1
NC_029930	0	1	1
NC_029927	1	1	0
NC_029926	0	1	1
NC_035887	2	2	3
NC_035888	2	0	0
NC_029905	0	1	1
NC_029906	1	3	5
NC_029911	0	1	1
NC_029912	1	0	0
NC_029913	0	1	1
NC_029916	0	1	1
NC_029915	0	1	1
NC_029917	0	1	1
NC_029918	0	1	1
NC_029919	0	1	1
NC_029914	0	1	1
NC_029920	0	3	2
NC_029907	1	0	1
NC_037579	0	1	0
NC_037580	0	2	0
NC_037581	2	1	0
NC_037582	1	0	0
NC_037588	0	1	1
NC_037585	0	1	1
NC_037586	0	1	1
NC_037587	1	0	0
NC_029904	0	1	1
NC_037589	0	1	1
NC_037583	0	1	1
NC_037584	1	0	0
NC_029989	2	1	0
NC_029990	2	2	4
NC_030152	0	1	1
NC_030159	1	0	0
NC_030160	0	1	1
NC_030161	0	1	1
NC_030162	0	1	1
NC_030153	1	0	0
NC_030154	0	1	1
NC_030155	0	3	1
NC_030157	0	1	1
NC_030158	0	1	1
NC_030163	0	1	1
NC_030156	0	2	1
NC_030115	1	2	1
NC_030236	1	0	0
NC_030229	2	2	2
NC_030126	2	3	0
NC_030139	1	2	2
NC_030146	0	4	3
NC_030142	1	2	2
NC_030141	0	4	3
NC_030145	0	4	3
NC_030143	1	2	2
NC_030140	0	4	3
NC_030144	1	3	2
NC_030147	1	2	2
NC_030138	1	2	2
NC_030118	1	0	0
NC_030117	64	13	12
NC_030148	7	5	9
NC_030151	5	0	1
NC_030127	2	1	0
NC_030201	1	1	1
NC_030199	0	3	1
NC_030200	50	44	34
NC_030203	1	1	1
NC_030205	7	3	2
NC_030202	2	0	0
NC_030295	1	1	1
NC_030296	1	2	3
NC_030291	0	1	1
NC_030292	7	1	2
NC_030294	3	0	0
NC_030297	1	0	2
NC_030293	0	1	1
NC_030308	1	0	0
NC_018082	1	0	0
NC_018090	1	2	6
NC_018091	0	1	1
NC_018093	1	0	2
NC_030224	2	0	0
NC_030238	2	3	5
NC_030242	1	0	1
NC_030244	0	1	1
NC_030235	2	0	0
NC_030234	1	1	0
NC_030233	1	1	1
NC_030232	2	1	0
NC_030225	2	2	5
NC_030240	90	50	40
NC_030231	3	3	3
NC_030243	1	0	0
NC_030245	1	0	0
NC_030226	1	0	0
NC_030228	1	0	0
NC_030227	1	1	0
NC_030290	0	2	1
NC_023295	4	0	0
NC_027059	1	1	2
NC_023300	1	0	0
NC_023301	0	1	1
NC_023302	1	0	0
NC_023304	1	0	0
NC_023306	1	0	0
NC_023307	1	0	0
NC_023299	0	1	1
NC_023305	1	0	0
NC_023296	1	0	0
NC_023297	1	0	0
NC_023298	1	0	0
NC_023308	1	0	0
NC_023309	1	0	0
NC_023310	1	0	0
NC_023303	1	0	0
NC_023311	1	0	0
NC_027026	0	3	2
NC_027016	59	134	25
NC_027040	3	0	3
NC_027054	0	2	1
NC_023312	2	1	4
NC_026942	2	3	5
NC_026944	3	1	1
NC_026947	0	1	1
NC_026946	4	2	3
NC_026945	0	2	4
NC_026943	3	0	1
NC_027199	2	6	5
NC_027198	2	2	3
NC_027208	1	1	3
NC_027209	2	1	0
NC_027211	0	5	3
NC_027210	1	0	0
NC_027117	1	10	1
NC_027123	1	4	3
NC_027121	8	2	3
NC_027122	2	1	1
NC_027131	3	0	1
NC_027133	1	0	0
NC_027141	0	1	1
NC_027142	0	2	2
NC_027140	1	0	0
NC_027124	4	7	11
NC_027128	1	0	0
NC_027126	0	1	1
NC_027138	1	0	0
NC_027139	1	0	0
NC_027135	0	3	2
NC_027137	0	1	2
NC_027134	1	1	1
NC_027136	0	1	2
NC_027129	2	1	4
NC_027214	1	0	0
NC_027212	1	1	1
NC_027215	3	2	3
NC_027428	1	2	1
NC_027426	1	2	2
NC_027427	1	2	1
NC_027431	0	1	1
NC_027430	1	0	2
NC_027429	2	2	1
NC_027534	1	0	0
NC_027535	0	1	1
NC_027537	0	1	1
NC_027538	0	1	1
NC_027549	1	0	0
NC_027550	0	1	1
NC_027552	1	0	1
NC_027551	1	0	1
NC_027536	1	1	0
NC_027548	0	1	1
NC_027563	1	0	0
NC_027565	1	1	0
NC_027566	0	1	1
NC_027564	0	2	1
NC_027553	0	1	1
NC_027567	1	0	0
NC_027568	1	0	0
NC_027569	0	1	1
NC_027571	0	1	1
NC_027573	0	1	1
NC_027576	0	1	1
NC_027574	1	0	0
NC_027570	0	1	1
NC_027572	1	0	0
NC_027532	2	2	4
NC_027528	6	0	1
NC_027527	3	0	3
NC_027533	0	1	1
NC_027539	1	0	0
NC_027540	0	1	1
NC_027543	0	1	1
NC_027545	0	1	1
NC_027546	1	0	1
NC_027547	1	1	1
NC_027542	0	1	1
NC_027544	1	0	0
NC_027541	1	0	0
NC_027531	3	1	5
NC_027530	2	0	0
NC_027619	0	1	2
NC_027637	4	2	2
NC_027636	3	2	3
NC_027635	4	2	1
NC_027634	6	1	0
NC_027633	4	2	1
NC_027631	1	1	2
NC_027648	3	3	2
NC_027647	4	1	1
NC_027646	4	1	1
NC_027645	6	0	0
NC_027644	4	3	1
NC_027643	4	1	1
NC_027642	4	2	3
NC_027641	4	2	2
NC_027640	3	3	2
NC_027639	2	3	3
NC_027638	2	4	2
NC_027701	1	1	1
NC_027714	3	3	4
NC_027710	0	3	4
NC_027712	8	1	1
NC_027713	1	0	0
NC_027706	1	0	0
NC_027711	1	2	3
NC_027703	2	3	4
NC_027720	1	1	1
NC_027719	1	1	1
NC_027718	1	0	0
NC_027776	0	3	2
NC_027777	2	1	0
NC_027783	0	2	2
NC_027789	1	3	1
NC_027793	0	2	2
NC_027791	1	1	1
NC_027787	1	1	1
NC_027782	1	1	1
NC_027785	0	3	2
NC_027784	0	1	2
NC_027795	0	2	2
NC_027796	0	2	1
NC_027781	1	1	1
NC_027802	1	0	0
NC_027808	1	0	0
NC_027809	1	0	0
NC_027810	1	0	0
NC_035937	0	1	1
NC_035938	0	1	1
NC_035939	0	1	1
NC_035935	0	1	1
NC_035936	0	1	1
NC_027816	1	0	0
NC_027804	0	1	1
NC_027805	0	1	1
NC_027806	0	1	1
NC_027811	1	0	0
NC_027812	0	1	1
NC_027813	0	1	1
NC_027803	0	1	1
NC_027807	0	1	1
NC_027814	1	0	0
NC_027815	0	1	1
NC_027779	5	1	1
NC_027790	1	0	0
NC_027799	1	1	1
NC_027797	0	2	2
NC_027780	1	1	1
NC_027798	0	2	2
NC_027800	2	0	0
NC_027792	1	2	1
NC_027786	1	1	1
NC_027794	1	1	1
NC_027788	2	1	0
NC_027801	0	5	2
NC_027822	0	1	1
NC_027823	1	0	0
NC_027916	74	34	36
NC_027915	1	1	0
NC_027821	0	4	3
NC_027818	0	1	1
NC_027820	0	4	3
NC_027920	1	0	0
NC_030690	2	3	4
NC_029255	52	33	25
NC_027924	3	3	3
NC_027923	94	37	51
NC_027917	1	0	0
NC_027919	0	1	1
NC_027918	0	1	1
NC_027926	1	0	0
NC_027927	2	0	0
NC_027922	1	2	2
NC_027928	1	0	0
NC_027929	0	2	2
NC_027930	1	2	1
NC_027921	0	1	1
NC_027998	0	1	1
NC_028044	1	1	1
NC_028045	0	2	2
NC_028046	3	0	3
NC_028099	59	26	28
NC_028097	1	1	0
NC_028098	0	2	2
NC_028115	1	0	0
NC_028126	5	0	3
NC_028125	5	1	1
NC_028134	0	2	2
NC_028133	0	2	1
NC_028124	2	1	4
NC_028114	1	3	5
NC_028111	4	0	2
NC_028129	0	4	4
NC_028119	2	2	3
NC_028117	1	3	4
NC_028132	0	1	0
NC_028116	1	1	0
NC_028128	1	1	0
NC_028130	0	4	1
NC_028123	3	1	1
NC_028120	3	4	1
NC_028127	3	2	2
NC_030688	2	3	4
