Genome	TP	FP	FN
NC_001798	0	49	77
NC_030692	0	1	6
NC_027892	0	5	6
NC_029642	1	3	5
NC_001607	0	1	6
NC_001422	5	2	4
NC_029549	0	1	1
NC_029550	1	0	0
NC_029551	0	1	1
NC_029552	0	1	1
NC_029553	1	0	0
NC_029570	1	0	0
NC_029554	1	0	0
NC_029555	1	0	0
NC_029558	0	1	1
NC_029559	0	1	1
NC_029560	1	0	0
NC_029561	0	1	1
NC_029571	1	0	0
NC_029572	0	1	1
NC_029573	1	0	0
NC_029567	1	0	0
NC_029562	1	0	0
NC_029568	0	1	1
NC_029563	1	0	0
NC_029564	0	1	1
NC_029565	0	2	1
NC_029566	1	0	0
NC_029556	0	1	1
NC_029557	0	1	1
NC_029569	0	1	1
NC_029574	1	0	0
NC_029575	1	0	0
NC_029578	0	3	0
NC_029617	2	5	1
NC_030691	0	4	6
NC_017862	1	3	6
NC_017936	0	1	2
NC_017937	2	3	6
NC_017938	0	1	1
NC_017939	0	1	1
NC_029648	0	3	6
NC_017977	0	1	2
NC_017967	1	0	1
NC_017970	0	1	2
NC_017988	0	1	1
NC_017989	1	0	0
NC_017987	0	2	6
NC_017993	2	2	5
NC_017994	3	1	4
NC_029691	0	3	6
NC_017916	3	0	2
NC_017914	1	3	4
NC_017917	0	2	4
NC_017913	0	2	2
NC_011348	1	2	4
NC_017995	3	2	4
NC_017996	2	2	5
NC_017997	3	1	4
NC_017990	0	2	1
NC_017991	1	0	0
NC_029803	0	3	2
NC_029804	1	1	5
NC_029783	4	3	8
NC_029782	1	0	0
NC_029797	1	1	2
NC_029799	0	1	1
NC_029800	0	2	2
NC_038232	0	2	2
NC_029802	1	0	0
NC_029801	2	0	0
NC_018072	1	1	1
NC_018071	1	1	1
NC_018070	1	0	0
NC_029852	1	3	3
NC_029854	1	0	0
NC_018074	2	1	4
NC_018075	2	3	4
NC_018076	2	2	4
NC_029994	0	2	6
NC_029991	1	0	0
NC_029996	46	68	99
NC_029995	0	3	6
NC_029993	0	4	5
NC_029992	0	5	14
NC_029997	45	56	74
NC_029936	0	1	1
NC_029931	0	1	1
NC_029935	0	1	1
NC_029900	3	2	2
NC_029901	1	0	0
NC_037612	0	1	1
NC_037613	2	0	0
NC_029903	0	1	1
NC_037614	0	1	1
NC_037615	2	0	0
NC_029932	1	0	0
NC_029933	0	1	1
NC_036636	1	0	0
NC_029921	0	1	1
NC_029923	0	1	1
NC_029929	1	0	0
NC_029930	1	0	0
NC_029927	0	1	1
NC_035887	0	2	5
NC_035888	0	2	2
NC_029905	0	1	1
NC_029906	0	4	6
NC_029911	1	0	0
NC_029912	1	0	0
NC_029913	1	0	0
NC_029916	1	0	0
NC_029915	1	0	0
NC_029917	1	0	0
NC_029918	1	0	0
NC_029919	1	0	0
NC_029914	0	1	1
NC_029920	0	3	2
NC_029907	0	1	2
NC_037579	0	1	0
NC_037580	0	2	0
NC_037581	1	2	1
NC_037582	1	0	0
NC_037588	1	0	0
NC_037585	0	1	1
NC_037586	0	1	1
NC_037587	1	0	0
NC_029904	1	0	0
NC_037589	0	1	1
NC_037583	1	0	0
NC_037584	1	0	0
NC_029989	0	1	2
NC_029990	0	4	6
NC_030152	1	0	0
NC_030159	0	1	1
NC_030160	1	0	0
NC_030161	1	0	0
NC_030162	0	1	1
NC_030153	1	0	0
NC_030154	0	1	1
NC_030155	0	1	1
NC_030157	0	1	1
NC_030158	0	1	1
NC_030163	0	1	1
NC_030156	1	0	0
NC_030115	1	1	1
NC_030236	1	0	0
NC_030229	3	1	1
NC_030126	1	2	1
NC_030139	0	2	3
NC_030146	0	3	3
NC_030142	0	1	3
NC_030141	0	3	3
NC_030145	1	1	2
NC_030143	1	2	2
NC_030144	0	3	3
NC_030147	1	1	2
NC_030138	0	1	3
NC_030118	1	0	0
NC_030117	54	22	22
NC_030148	5	5	11
NC_030151	3	1	3
NC_030127	1	2	1
NC_030201	0	2	2
NC_030199	0	2	1
NC_030200	43	40	41
NC_030203	0	3	2
NC_030205	5	4	4
NC_030202	1	2	1
NC_030295	1	1	1
NC_030296	1	2	3
NC_030291	0	1	1
NC_030292	5	3	4
NC_030294	0	4	3
NC_030297	1	0	2
NC_030293	0	1	1
NC_030308	0	1	1
NC_018082	0	1	1
NC_018090	0	2	7
NC_018091	0	2	1
NC_018093	0	1	3
NC_030224	0	2	2
NC_030238	0	3	7
NC_030242	0	2	2
NC_030235	1	1	1
NC_030234	0	1	1
NC_030233	0	2	2
NC_030232	2	0	0
NC_030225	0	1	7
NC_030240	36	77	94
NC_030231	1	5	5
NC_030243	0	1	1
NC_030245	0	1	1
NC_030226	0	1	1
NC_030228	0	1	1
NC_030227	1	0	0
NC_030290	1	0	0
NC_023295	2	2	2
NC_027059	1	1	2
NC_023300	0	1	1
NC_023301	0	1	1
NC_023302	0	1	1
NC_023304	0	1	1
NC_023306	1	0	0
NC_023307	0	1	1
NC_023299	0	1	1
NC_023305	1	0	0
NC_023296	1	0	0
NC_023297	0	1	1
NC_023298	0	1	1
NC_023308	0	1	1
NC_023309	0	1	1
NC_023310	0	1	1
NC_023311	1	0	0
NC_027026	0	2	2
NC_027016	2	180	82
NC_027040	0	4	6
NC_027054	0	2	1
NC_023312	1	2	5
NC_026942	1	3	6
NC_026944	0	5	4
NC_026947	0	1	1
NC_026946	2	2	5
NC_026945	1	1	3
NC_026943	2	2	2
NC_027199	0	7	7
NC_027198	0	3	5
NC_027208	0	2	4
NC_027211	0	4	3
NC_027210	0	1	1
NC_027117	0	3	2
NC_027123	0	3	4
NC_027121	6	4	5
NC_027122	3	0	0
NC_027131	3	0	1
NC_027133	0	1	1
NC_027141	0	1	1
NC_027142	1	0	1
NC_027140	1	0	0
NC_027124	0	3	15
NC_027128	1	0	0
NC_027126	0	1	1
NC_027138	1	0	0
NC_027139	0	1	1
NC_027135	1	1	1
NC_027137	0	1	2
NC_027134	0	1	2
NC_027136	0	1	2
NC_027129	0	2	6
NC_027214	0	1	1
NC_027212	0	2	2
NC_027215	1	3	5
NC_027428	0	3	2
NC_027426	2	1	1
NC_027427	0	2	2
NC_027431	0	1	1
NC_027430	0	3	3
NC_027429	2	0	1
NC_027534	1	0	0
NC_027535	1	0	0
NC_027549	0	1	1
NC_027552	0	1	2
NC_027551	1	0	1
NC_027548	1	0	0
NC_027563	1	0	0
NC_027565	0	1	1
NC_027566	1	0	0
NC_027564	0	1	1
NC_027553	1	0	0
NC_027567	1	0	0
NC_027568	0	1	1
NC_027569	1	0	0
NC_027571	1	0	0
NC_027573	0	1	1
NC_027576	1	0	0
NC_027574	1	0	0
NC_027570	1	0	0
NC_027572	1	0	0
NC_027532	1	2	5
NC_027528	2	2	5
NC_027527	2	1	4
NC_027533	1	0	0
NC_027539	1	0	0
NC_027540	1	0	0
NC_027543	1	0	0
NC_027545	1	0	0
NC_027546	1	0	1
NC_027547	1	0	1
NC_027542	1	0	0
NC_027544	0	1	1
NC_027541	1	0	0
NC_027531	1	2	7
NC_027530	1	1	1
NC_027619	0	4	2
NC_027637	4	2	2
NC_027636	3	2	3
NC_027635	5	0	0
NC_027634	4	1	2
NC_027633	1	4	4
NC_027631	0	1	3
NC_027648	2	2	3
NC_027647	4	0	1
NC_027646	2	2	3
NC_027645	2	2	4
NC_027644	2	4	3
NC_027643	1	3	4
NC_027642	3	3	4
NC_027641	4	2	2
NC_027640	4	1	1
NC_027639	2	3	3
NC_027638	2	4	2
NC_027701	1	1	1
NC_027714	1	3	6
NC_027710	0	1	4
NC_027712	1	5	8
NC_027713	1	0	0
NC_027706	1	0	0
NC_027711	0	3	4
NC_027703	0	2	6
NC_027720	1	1	1
NC_027719	1	1	1
NC_027718	1	0	0
NC_027776	0	1	2
NC_027777	1	1	1
NC_027783	0	1	2
NC_027789	1	3	1
NC_027793	0	3	2
NC_027791	1	1	1
NC_027787	1	1	1
NC_027782	1	1	1
NC_027785	0	2	2
NC_027784	1	0	1
NC_027795	0	2	2
NC_027796	0	1	1
NC_027781	0	2	2
NC_027802	1	0	0
NC_027808	1	0	0
NC_027809	1	0	0
NC_027810	0	1	1
NC_035938	0	1	1
NC_035939	0	1	1
NC_035935	0	1	1
NC_035936	0	1	1
NC_027816	1	0	0
NC_027804	0	1	1
NC_027805	1	0	0
NC_027806	1	0	0
NC_027811	1	0	0
NC_027812	1	0	0
NC_027813	1	0	0
NC_027803	1	0	0
NC_027807	0	1	1
NC_027814	1	0	0
NC_027815	1	0	0
NC_027779	5	1	1
NC_027790	0	1	1
NC_027799	1	1	1
NC_027797	1	0	1
NC_027780	0	2	2
NC_027798	0	2	2
NC_027800	1	1	1
NC_027786	1	1	1
NC_027794	2	0	0
NC_027788	2	1	0
NC_027801	1	1	1
NC_027822	0	1	1
NC_027823	1	0	0
NC_027916	13	69	97
NC_027915	0	1	1
NC_027821	0	2	3
NC_027818	0	1	1
NC_027820	0	2	3
NC_027920	0	1	1
NC_030690	0	4	6
NC_029255	29	46	48
NC_027924	3	3	3
NC_027923	28	82	117
NC_027917	0	1	1
NC_027919	0	6	1
NC_027918	0	2	1
NC_027926	1	0	0
NC_027927	1	1	1
NC_027922	0	2	3
NC_027928	0	1	1
NC_027929	0	2	2
NC_027930	0	2	2
NC_027921	0	1	1
NC_027998	0	1	1
NC_028044	0	2	2
NC_028045	0	1	2
NC_028046	0	2	6
NC_028099	29	37	58
NC_028097	0	1	1
NC_028098	0	2	2
NC_028115	0	1	1
NC_028126	2	3	6
NC_028125	3	1	3
NC_028134	0	2	2
NC_028133	0	2	1
NC_028124	1	1	5
NC_028114	0	2	6
NC_028111	2	1	4
NC_028129	0	1	4
NC_028119	0	3	5
NC_028117	0	3	5
NC_028116	1	0	0
NC_028128	0	1	1
NC_028130	0	1	1
NC_028123	1	2	3
NC_028120	1	3	3
NC_028127	0	3	5
NC_030688	2	3	4
NC_028368	0	1	1
NC_028374	0	2	1
NC_028371	0	7	1
NC_028376	1	1	0
NC_028365	0	1	1
NC_028364	1	0	0
NC_028363	0	1	1
NC_028378	2	0	1
NC_028372	1	0	0
NC_028370	0	1	1
NC_028377	0	2	1
NC_028367	1	0	0
NC_028373	1	0	0
NC_028369	0	1	1
NC_028375	1	0	0
NC_028387	1	1	1
NC_028382	0	1	1
NC_028383	0	1	1
NC_028386	0	1	2
NC_028384	1	0	1
NC_028385	1	1	1
NC_028389	0	1	1
NC_028388	0	1	1
