ID	CDSs_EXPECTED
NC_001798	77
NC_030692	6
NC_027892	6
NC_029642	6
NC_001607	6
NC_001422	11
NC_029549	1
NC_029550	1
NC_029551	1
NC_029552	1
NC_029553	1
NC_029570	1
NC_029554	1
NC_029555	1
NC_029558	1
NC_029559	1
NC_029560	1
NC_029561	1
NC_029571	1
NC_029572	1
NC_029573	1
NC_029567	1
NC_029562	1
NC_029568	1
NC_029563	1
NC_029564	1
NC_029565	1
NC_029566	1
NC_029556	1
NC_029557	1
NC_029569	1
NC_029574	1
NC_029575	1
NC_029578	0
NC_029617	3
NC_030691	6
NC_017862	7
NC_017936	2
NC_017937	8
NC_017938	1
NC_017939	1
NC_029648	6
NC_017977	2
NC_017967	2
NC_017970	2
NC_017988	1
NC_017989	1
NC_017987	6
NC_017993	7
NC_017994	7
NC_029691	6
NC_017916	5
NC_017914	5
NC_017917	4
NC_017913	2
NC_011348	5
NC_017995	7
NC_017996	7
NC_017997	7
NC_017990	1
NC_017991	1
NC_029803	2
NC_029804	6
NC_029783	12
NC_029782	1
NC_029797	3
NC_029799	1
NC_029800	2
NC_038232	2
NC_029802	1
NC_029801	2
NC_018072	2
NC_018071	2
NC_018070	1
NC_029853	2
NC_029852	4
NC_029854	1
NC_018074	6
NC_018075	6
NC_018076	6
NC_029994	6
NC_029991	1
NC_029996	145
NC_029995	6
NC_029993	5
NC_029992	14
NC_029997	119
NC_029936	1
NC_029931	1
NC_029935	1
NC_029900	5
NC_029901	1
NC_037612	1
NC_037613	2
NC_029903	1
NC_037614	1
NC_037615	2
NC_029932	1
NC_029933	1
NC_036636	1
NC_029921	1
NC_029922	1
NC_029923	1
NC_029924	1
NC_029925	1
NC_029928	1
NC_029929	1
NC_029930	1
NC_029927	1
NC_029926	1
NC_035887	5
NC_035888	2
NC_029905	1
NC_029906	6
NC_029911	1
NC_029912	1
NC_029913	1
NC_029916	1
NC_029915	1
NC_029917	1
NC_029918	1
NC_029919	1
NC_029914	1
NC_029920	2
NC_029907	2
NC_037579	0
NC_037580	0
NC_037581	2
NC_037582	1
NC_037588	1
NC_037585	1
NC_037586	1
NC_037587	1
NC_029904	1
NC_037589	1
NC_037583	1
NC_037584	1
NC_029989	2
NC_029990	6
NC_030152	1
NC_030159	1
NC_030160	1
NC_030161	1
NC_030162	1
NC_030153	1
NC_030154	1
NC_030155	1
NC_030157	1
NC_030158	1
NC_030163	1
NC_030156	1
NC_030115	2
NC_030236	1
NC_030229	4
NC_030126	2
NC_030139	3
NC_030146	3
NC_030142	3
NC_030141	3
NC_030145	3
NC_030143	3
NC_030140	3
NC_030144	3
NC_030147	3
NC_030138	3
NC_030118	1
NC_030117	76
NC_030148	16
NC_030151	6
NC_030127	2
NC_030201	2
NC_030199	1
NC_030200	84
NC_030203	2
NC_030205	9
NC_030202	2
NC_030295	2
NC_030296	4
NC_030291	1
NC_030292	9
NC_030294	3
NC_030297	3
NC_030293	1
NC_030308	1
NC_018082	1
NC_018090	7
NC_018091	1
NC_018093	3
NC_030224	2
NC_030238	7
NC_030242	2
NC_030244	1
NC_030235	2
NC_030234	1
NC_030233	2
NC_030232	2
NC_030225	7
NC_030240	130
NC_030231	6
NC_030243	1
NC_030245	1
NC_030226	1
NC_030228	1
NC_030227	1
NC_030290	1
NC_023295	4
NC_027059	3
NC_023300	1
NC_023301	1
NC_023302	1
NC_023304	1
NC_023306	1
NC_023307	1
NC_023299	1
NC_023305	1
NC_023296	1
NC_023297	1
NC_023298	1
NC_023308	1
NC_023309	1
NC_023310	1
NC_023303	1
NC_023311	1
NC_027026	2
NC_027016	84
NC_027040	6
NC_027054	1
NC_023312	6
NC_026942	7
NC_026944	4
NC_026947	1
NC_026946	7
NC_026945	4
NC_026943	4
NC_027199	7
NC_027198	5
NC_027208	4
NC_027209	2
NC_027211	3
NC_027210	1
NC_027117	2
NC_027123	4
NC_027121	11
NC_027122	3
NC_027131	4
NC_027133	1
NC_027141	1
NC_027142	2
NC_027140	1
NC_027124	15
NC_027128	1
NC_027126	1
NC_027138	1
NC_027139	1
NC_027135	2
NC_027137	2
NC_027134	2
NC_027136	2
NC_027129	6
NC_027214	1
NC_027212	2
NC_027215	6
NC_027428	2
NC_027426	3
NC_027427	2
NC_027432	0
NC_027431	1
NC_027430	3
NC_027429	3
NC_027534	1
NC_027535	1
NC_027537	1
NC_027538	1
NC_027549	1
NC_027550	1
NC_027552	2
NC_027551	2
NC_027536	1
NC_027548	1
NC_027563	1
NC_027565	1
NC_027566	1
NC_027564	1
NC_027553	1
NC_027567	1
NC_027568	1
NC_027569	1
NC_027571	1
NC_027573	1
NC_027576	1
NC_027574	1
NC_027570	1
NC_027572	1
NC_027532	6
NC_027528	7
NC_027527	6
NC_027533	1
NC_027539	1
NC_027540	1
NC_027543	1
NC_027545	1
NC_027546	2
NC_027547	2
NC_027542	1
NC_027544	1
NC_027541	1
NC_027531	8
NC_027530	2
NC_027619	2
NC_027637	6
NC_027636	6
NC_027635	5
NC_027634	6
NC_027633	5
NC_027631	3
NC_027648	5
NC_027647	5
NC_027646	5
NC_027645	6
NC_027644	5
NC_027643	5
NC_027642	7
NC_027641	6
NC_027640	5
NC_027639	5
NC_027638	4
NC_027701	2
NC_027714	7
NC_027710	4
NC_027712	9
NC_027713	1
NC_027706	1
NC_027711	4
NC_027702	0
NC_027703	6
NC_027720	2
NC_027719	2
NC_027718	1
NC_027776	2
NC_027777	2
NC_027783	2
NC_027789	2
NC_027793	2
NC_027791	2
NC_027787	2
NC_027782	2
NC_027785	2
NC_027784	2
NC_027795	2
NC_027796	1
NC_027781	2
NC_027802	1
NC_027808	1
NC_027809	1
NC_027810	1
NC_035937	1
NC_035938	1
NC_035939	1
NC_035935	1
NC_035936	1
NC_027816	1
NC_027804	1
NC_027805	1
NC_027806	1
NC_027811	1
NC_027812	1
NC_027813	1
NC_027803	1
NC_027807	1
NC_027814	1
NC_027815	1
NC_027779	6
NC_027790	1
NC_027799	2
NC_027797	2
NC_027780	2
NC_027798	2
NC_027800	2
NC_027792	2
NC_027786	2
NC_027794	2
NC_027788	2
NC_027801	2
NC_027822	1
NC_027823	1
NC_027916	110
NC_027915	1
NC_027821	3
NC_027818	1
NC_027820	3
NC_027920	1
NC_030690	6
NC_029255	77
NC_027924	6
NC_027923	145
NC_027917	1
NC_027919	1
NC_027918	1
NC_027926	1
NC_027927	2
