Genome	TP	FP	FN
NC_001798	42	28	35
NC_030692	4	1	2
NC_027892	2	4	4
NC_029642	3	3	3
NC_001607	5	0	1
NC_001422	4	2	5
NC_029549	0	1	1
NC_029550	1	0	0
NC_029551	0	1	1
NC_029552	1	0	0
NC_029553	1	0	0
NC_029570	1	0	0
NC_029554	1	0	0
NC_029555	1	0	0
NC_029558	0	1	1
NC_029559	0	1	1
NC_029560	1	1	0
NC_029561	0	1	1
NC_029571	0	1	1
NC_029572	1	0	0
NC_029573	1	0	0
NC_029567	0	1	1
NC_029562	0	1	1
NC_029568	1	0	0
NC_029563	1	0	0
NC_029564	1	0	0
NC_029565	1	0	0
NC_029566	1	0	0
NC_029556	0	1	1
NC_029557	0	1	1
NC_029569	0	1	1
NC_029574	1	0	0
NC_029575	1	0	0
NC_029578	0	4	0
NC_029617	3	3	0
NC_030691	2	3	4
NC_017862	1	6	6
NC_017936	0	2	2
NC_017937	4	2	4
NC_017938	0	1	1
NC_017939	0	1	1
NC_029648	2	0	4
NC_017977	0	1	2
NC_017967	1	0	1
NC_017970	0	2	2
NC_017988	0	1	1
NC_017989	1	0	0
NC_017987	3	2	3
NC_017993	3	3	4
NC_017994	3	3	4
NC_029691	2	2	4
NC_017916	2	1	3
NC_017914	2	2	3
NC_017917	0	4	4
NC_017913	0	4	2
NC_011348	2	2	3
NC_017995	2	4	5
NC_017996	2	4	5
NC_017997	5	1	2
NC_017990	1	0	0
NC_017991	1	0	0
NC_029803	0	3	2
NC_029804	3	0	3
NC_029783	7	5	5
NC_029782	0	1	1
NC_029797	0	3	3
NC_029799	0	2	1
NC_029800	1	1	1
NC_038232	1	1	1
NC_029802	1	0	0
NC_029801	2	0	0
NC_018072	2	0	0
NC_018071	2	0	0
NC_018070	0	1	1
NC_029853	1	4	1
NC_029852	1	4	3
NC_029854	1	2	0
NC_018074	4	2	2
NC_018075	3	3	3
NC_018076	4	3	2
NC_029994	3	1	3
NC_029991	1	0	0
NC_029996	99	43	46
NC_029995	2	2	4
NC_029993	1	5	4
NC_029992	4	8	10
NC_029997	78	33	41
NC_029936	1	0	0
NC_029931	1	0	0
NC_029935	1	0	0
NC_029900	2	3	3
NC_029901	0	1	1
NC_037612	0	2	1
NC_037613	2	0	0
NC_029903	0	1	1
NC_037614	1	0	0
NC_037615	2	0	0
NC_029932	1	0	0
NC_029933	1	0	0
NC_036636	0	1	1
NC_029921	1	0	0
NC_029922	0	1	1
NC_029923	0	1	1
NC_029924	0	1	1
NC_029925	0	1	1
NC_029928	0	1	1
NC_029929	0	1	1
NC_029930	1	0	0
NC_029927	1	0	0
NC_029926	1	0	0
NC_035887	1	4	4
NC_035888	1	4	1
NC_029905	0	2	1
NC_029906	1	3	5
NC_029911	0	1	1
NC_029912	1	0	0
NC_029913	0	1	1
NC_029916	0	1	1
NC_029915	0	1	1
NC_029917	0	1	1
NC_029918	0	1	1
NC_029919	0	1	1
NC_029914	0	1	1
NC_029920	0	3	2
NC_029907	1	1	1
NC_037579	0	2	0
NC_037580	0	2	0
NC_037581	2	1	0
NC_037582	1	1	0
NC_037588	0	1	1
NC_037585	0	2	1
NC_037586	0	1	1
NC_037587	1	0	0
NC_029904	1	0	0
NC_037589	1	0	0
NC_037583	1	0	0
NC_037584	1	0	0
NC_029989	2	0	0
NC_029990	2	2	4
NC_030152	0	1	1
NC_030159	1	0	0
NC_030160	0	1	1
NC_030161	0	1	1
NC_030162	0	1	1
NC_030153	1	0	0
NC_030154	0	1	1
NC_030155	1	1	0
NC_030157	1	0	0
NC_030158	0	1	1
NC_030163	0	1	1
NC_030156	0	1	1
NC_030115	1	2	1
NC_030236	1	0	0
NC_030229	2	2	2
NC_030126	1	3	1
NC_030139	0	3	3
NC_030146	0	3	3
NC_030142	1	2	2
NC_030141	0	3	3
NC_030145	0	3	3
NC_030143	0	4	3
NC_030140	0	3	3
NC_030144	1	1	2
NC_030147	0	3	3
NC_030138	1	3	2
NC_030118	1	0	0
NC_030117	58	16	18
NC_030148	6	6	10
NC_030151	3	6	3
NC_030127	1	3	1
NC_030201	1	1	1
NC_030199	0	3	1
NC_030200	40	54	44
NC_030203	1	3	1
NC_030205	3	6	6
NC_030202	0	2	2
NC_030295	1	1	1
NC_030296	3	0	1
NC_030291	0	1	1
NC_030292	6	1	3
NC_030294	3	2	0
NC_030297	1	4	2
NC_030293	0	1	1
NC_030308	1	0	0
NC_018082	1	1	0
NC_018090	3	1	4
NC_018091	0	2	1
NC_018093	1	0	2
NC_030224	2	0	0
NC_030238	2	2	5
NC_030242	1	0	1
NC_030244	0	1	1
NC_030235	1	1	1
NC_030234	1	1	0
NC_030233	1	2	1
NC_030232	2	2	0
NC_030225	1	4	6
NC_030240	90	49	40
NC_030231	4	3	2
NC_030243	1	0	0
NC_030245	1	0	0
NC_030226	1	1	0
NC_030228	0	1	1
NC_030227	1	1	0
NC_030290	0	1	1
NC_023295	3	1	1
NC_027059	2	0	1
NC_023300	1	1	0
NC_023301	0	1	1
NC_023302	0	2	1
NC_023304	0	1	1
NC_023306	1	1	0
NC_023307	1	0	0
NC_023299	1	0	0
NC_023305	1	2	0
NC_023296	1	0	0
NC_023297	1	1	0
NC_023298	0	1	1
NC_023308	1	2	0
NC_023309	0	2	1
NC_023310	0	2	1
NC_023303	1	1	0
NC_023311	1	1	0
NC_027026	0	2	2
NC_027016	50	175	34
NC_027040	2	1	4
NC_027054	1	3	0
NC_023312	2	0	4
NC_026942	2	3	5
NC_026944	1	4	3
NC_026947	0	3	1
NC_026946	3	3	4
NC_026945	0	2	4
NC_026943	2	2	2
NC_027199	0	6	7
NC_027198	2	2	3
NC_027208	2	1	2
NC_027209	1	1	1
NC_027211	0	5	3
NC_027210	1	0	0
NC_027117	1	10	1
NC_027123	1	3	3
NC_027121	5	5	6
NC_027122	2	1	1
NC_027131	2	0	2
NC_027133	1	1	0
NC_027141	0	1	1
NC_027142	0	2	2
NC_027140	0	1	1
NC_027124	4	9	11
NC_027128	1	1	0
NC_027126	0	1	1
NC_027138	1	2	0
NC_027139	1	2	0
NC_027135	1	1	1
NC_027137	0	1	2
NC_027134	1	1	1
NC_027136	0	2	2
NC_027129	1	2	5
NC_027214	1	0	0
NC_027212	1	1	1
NC_027215	1	3	5
NC_027428	1	2	1
NC_027426	1	2	2
NC_027427	1	1	1
NC_027432	0	1	0
NC_027431	1	1	0
NC_027430	1	2	2
NC_027429	2	3	1
NC_027534	1	0	0
NC_027535	0	1	1
NC_027537	0	1	1
NC_027538	0	1	1
NC_027549	1	0	0
NC_027550	0	1	1
NC_027552	1	0	1
NC_027551	1	0	1
NC_027536	1	0	0
NC_027548	0	1	1
NC_027563	1	0	0
NC_027565	1	0	0
NC_027566	1	0	0
NC_027564	1	0	0
NC_027553	0	1	1
NC_027567	1	0	0
NC_027568	1	0	0
NC_027569	0	1	1
NC_027571	0	1	1
NC_027573	0	1	1
NC_027576	0	1	1
NC_027574	1	0	0
NC_027570	0	1	1
NC_027572	1	0	0
NC_027532	2	3	4
NC_027528	4	2	3
NC_027527	3	1	3
NC_027533	0	1	1
