ID	CDSs_AUGUSTUS_SAUREUS
NC_001338	21
NC_001902	21
NC_002628	25
NC_003158	16
NC_003214	64
NC_003345	58
NC_004084	46
NC_004086	53
NC_004087	46
NC_004927	56
NC_005265	20
NC_005360	28
NC_005361	21
NC_005872	21
NC_005892	35
NC_006268	72
NC_006556	9
NC_007217	11
NC_007409	53
NC_007914	23
NC_007918	23
NC_008695	20
NC_009452	39
NC_009597	10
NC_009884	48
NC_009965	28
NC_009986	22
NC_010152	56
NC_010153	48
NC_010154	53
NC_010155	54
NC_010342	36
NC_010537	59
NC_011217	20
NC_012558	7
NC_013585	27
NC_013587	23
NC_013588	22
NC_013758	7
NC_014099	28
NC_014321	1
NC_014322	10
NC_016899	14
NC_016989	9
NC_017087	8
NC_017088	5
NC_017089	6
NC_017090	3
NC_019413	31
NC_020077	71
NC_020158	76
NC_020159	47
NC_020882	12
NC_020998	11
NC_021319	46
NC_021320	52
NC_021321	46
NC_021322	45
NC_021327	83
NC_021328	201
NC_021329	42
NC_021330	92
NC_021335	47
NC_021340	19
NC_021471	26
NC_021537	19
NC_023585	42
NC_023592	8
NC_025213	10
NC_025375	35
NC_028268	7
NC_028787	62
NC_028938	42
NC_028992	27
NC_029011	57
NC_029020	33
NC_029027	48
NC_029103	76
NC_029314	42
NC_029316	78
NC_029548	20
NC_030848	15
NC_030884	49
NC_034619	55
NC_034620	56
NC_034621	59
NC_034623	58
NC_034624	50
NC_034625	48
NC_034627	58
NC_034628	56
NC_036595	3
NC_038017	34
NC_042347	32
NC_043030	1
NC_043427	13
NC_047943	11
NC_048037	50
NC_048127	47
NC_048128	42
NC_048156	7
NC_048157	6
NC_048158	6
NC_048160	7
NC_048199	49
NC_052650	29
NC_000866	271
NC_000867	20
NC_000871	48
NC_000872	54
NC_000896	68
NC_000902	68
NC_000924	67
NC_000929	41
NC_000935	35
NC_001271	39
NC_001317	36
NC_001330	7
NC_001331	7
NC_001332	7
NC_001335	28
NC_001396	10
NC_001416	53
NC_001417	3
NC_001418	9
NC_001420	6
NC_001421	27
NC_001422	7
NC_001423	25
NC_001426	3
NC_001604	47
NC_001609	9
NC_001628	1
NC_001629	40
NC_001697	43
NC_001706	38
NC_001730	8
NC_001741	5
NC_001825	27
NC_001835	56
NC_001884	184
NC_001890	3
NC_001895	35
NC_001900	29
NC_001901	47
NC_001909	61
NC_001954	9
NC_001956	10
NC_001978	28
NC_001998	4
NC_002014	8
NC_002072	47
NC_002166	54
NC_002167	47
NC_002180	4
NC_002185	46
NC_002194	5
NC_002214	52
NC_002321	64
NC_002362	10
NC_002363	8
NC_002371	55
NC_002484	48
NC_002486	75
NC_002519	49
NC_002643	4
NC_002649	34
NC_002656	31
NC_002661	72
NC_002666	61
NC_002667	59
NC_002668	59
NC_002669	26
NC_002670	23
NC_002671	26
NC_002700	3
NC_002703	52
NC_002730	51
NC_002747	56
NC_002796	50
NC_003050	53
NC_003085	26
NC_003157	64
NC_003216	65
NC_003278	29
NC_003287	7
NC_003288	66
NC_003291	62
NC_003298	39
NC_003299	6
NC_003300	5
NC_003301	5
NC_003309	49
NC_003313	40
NC_003315	41
NC_003324	40
NC_003327	13
NC_003356	52
NC_003387	40
NC_003390	29
NC_003444	41
NC_003460	3
NC_003524	52
NC_003714	3
NC_003715	4
NC_003716	4
NC_003907	65
NC_004066	61
NC_004112	63
NC_004165	25
NC_004166	74
NC_004167	56
NC_004170	2
NC_004171	3
NC_004172	5
NC_004173	5
NC_004174	2
NC_004175	4
NC_004301	4
NC_004302	50
NC_004303	58
NC_004305	63
NC_004306	12
NC_004313	48
NC_004333	53
NC_004348	57
NC_004456	50
NC_004462	4
NC_004466	40
NC_004584	62
NC_004585	63
NC_004586	57
NC_004587	63
NC_004588	59
NC_004589	52
NC_004615	69
NC_004616	65
NC_004617	69
NC_004629	359
NC_004664	31
NC_004665	28
NC_004678	22
NC_004679	22
NC_004680	52
NC_004681	48
NC_004682	30
NC_004683	48
NC_004684	47
NC_004685	54
NC_004686	37
NC_004687	97
NC_004688	62
NC_004689	71
NC_004735	111
NC_004736	12
NC_004740	64
NC_004745	33
NC_004746	49
NC_004775	41
NC_004777	42
NC_004813	60
NC_004814	27
NC_004820	93
NC_004821	57
NC_004827	63
NC_004831	43
NC_004902	46
NC_004913	69
NC_004914	72
NC_004928	271
NC_004996	55
NC_005045	31
NC_005056	35
NC_005066	263
NC_005069	56
NC_005083	384
NC_005091	48
NC_005131	9
NC_005135	243
NC_005178	27
NC_005258	29
NC_005259	39
NC_005260	329
NC_005262	50
NC_005263	60
NC_005282	124
NC_005284	52
NC_005294	73
NC_005340	35
NC_005342	55
NC_005344	54
NC_005345	24
NC_005354	56
NC_005355	54
NC_005356	70
NC_005357	39
NC_005822	49
NC_005833	69
NC_005841	51
NC_005856	91
NC_005857	43
NC_005859	173
NC_005879	47
NC_005880	243
NC_005882	35
NC_005884	44
NC_005885	30
NC_005886	60
NC_005887	46
NC_005891	49
NC_005893	56
NC_005948	11
NC_005949	11
NC_006294	8
NC_006356	62
NC_006548	36
NC_006552	38
NC_006557	54
NC_006565	167
NC_006820	219
NC_006882	51
NC_006883	326
NC_006884	210
NC_006936	55
NC_006938	38
NC_006940	48
NC_006945	30
NC_006949	61
NC_006953	55
NC_007019	42
NC_007021	180
NC_007022	244
NC_007023	285
NC_007024	54
NC_007045	24
NC_007046	22
NC_007047	68
NC_007048	67
NC_007049	70
NC_007050	70
NC_007051	56
NC_007052	71
NC_007053	65
NC_007054	63
NC_007055	68
NC_007056	68
NC_007057	73
NC_007058	73
NC_007059	69
NC_007060	66
NC_007061	65
NC_007062	58
NC_007063	67
NC_007064	64
NC_007065	68
NC_007066	216
NC_007145	38
NC_007149	50
NC_007189	7
NC_007291	83
NC_007451	28
NC_007456	39
NC_007458	57
NC_007461	5
NC_007497	45
NC_007501	52
NC_007581	204
NC_007603	66
NC_007610	179
NC_007623	167
NC_007636	40
