Genome	TP	FP	FN
NC_001798	45	42	32
NC_030692	1	3	5
NC_027892	1	5	5
NC_029642	2	2	4
NC_001607	3	0	3
NC_001422	5	1	4
NC_029549	0	2	1
NC_029550	1	1	0
NC_029551	0	1	1
NC_029552	1	0	0
NC_029553	1	1	0
NC_029570	0	1	1
NC_029554	0	1	1
NC_029555	1	1	0
NC_029558	0	1	1
NC_029559	1	1	0
NC_029560	0	2	1
NC_029561	0	1	1
NC_029571	1	0	0
NC_029572	0	1	1
NC_029573	1	2	0
NC_029567	0	1	1
NC_029562	0	1	1
NC_029568	1	0	0
NC_029563	1	1	0
NC_029564	0	1	1
NC_029565	0	1	1
NC_029566	1	0	0
NC_029556	0	1	1
NC_029557	0	1	1
NC_029569	0	1	1
NC_029574	1	0	0
NC_029575	1	0	0
NC_029578	0	4	0
NC_029617	2	3	1
NC_030691	1	3	5
NC_017862	2	1	5
NC_017936	1	1	1
NC_017937	2	5	6
NC_017938	0	1	1
NC_017939	0	1	1
NC_029648	1	2	5
NC_017977	0	1	2
NC_017967	1	0	1
NC_017970	0	2	2
NC_017988	0	1	1
NC_017989	1	0	0
NC_017987	0	3	6
NC_017993	3	3	4
NC_017994	3	1	4
NC_029691	0	4	6
NC_017916	3	0	2
NC_017914	1	2	4
NC_017917	1	3	3
NC_017913	0	2	2
NC_011348	1	1	4
NC_017995	5	0	2
NC_017996	4	0	3
NC_017997	3	1	4
NC_017990	0	2	1
NC_017991	1	0	0
NC_029803	0	3	2
NC_029804	1	2	5
NC_029783	3	7	9
NC_029782	0	1	1
NC_029797	0	2	3
NC_029799	0	2	1
NC_029800	1	1	1
NC_038232	1	1	1
NC_029802	1	0	0
NC_029801	2	2	0
NC_018072	1	2	1
NC_018071	2	0	0
NC_018070	0	1	1
NC_029853	0	3	2
NC_029852	2	2	2
NC_029854	1	0	0
NC_018074	3	1	3
NC_018075	1	4	5
NC_018076	2	3	4
NC_029994	0	2	6
NC_029991	1	1	0
NC_029996	59	51	86
NC_029995	1	1	5
NC_029993	0	5	5
NC_029992	1	4	13
NC_029997	63	33	56
NC_029936	1	1	0
NC_029931	1	0	0
NC_029935	0	2	1
NC_029900	2	1	3
NC_029901	0	1	1
NC_037612	0	3	1
NC_037613	2	0	0
NC_029903	0	1	1
NC_037614	1	0	0
NC_037615	2	0	0
NC_029932	1	1	0
NC_029933	0	1	1
NC_036636	1	0	0
NC_029921	0	2	1
NC_029922	0	1	1
NC_029923	0	2	1
NC_029924	0	1	1
NC_029925	0	1	1
NC_029928	0	1	1
NC_029929	0	1	1
NC_029930	1	0	0
NC_029927	0	1	1
NC_029926	0	1	1
NC_035887	1	2	4
NC_035888	0	1	2
NC_029905	0	2	1
NC_029906	0	3	6
NC_029911	0	1	1
NC_029912	1	0	0
NC_029913	0	1	1
NC_029916	0	1	1
NC_029915	0	1	1
NC_029917	0	1	1
NC_029918	1	0	0
NC_029919	0	1	1
NC_029914	0	2	1
NC_029920	0	1	2
NC_029907	0	3	2
NC_037579	0	1	0
NC_037580	0	3	0
NC_037581	0	1	2
NC_037582	1	0	0
NC_037588	0	1	1
NC_037585	1	0	0
NC_037586	0	1	1
NC_037587	1	0	0
NC_029904	1	0	0
NC_037589	0	0	1
NC_037583	0	1	1
NC_037584	1	0	0
NC_029989	1	1	1
NC_029990	1	2	5
NC_030152	0	1	1
NC_030159	0	1	1
NC_030160	0	2	1
NC_030161	0	1	1
NC_030162	0	1	1
NC_030153	0	1	1
NC_030154	0	0	1
NC_030155	0	3	1
NC_030157	1	0	0
NC_030158	0	1	1
NC_030163	0	1	1
NC_030156	0	1	1
NC_030115	0	2	2
NC_030236	1	0	0
NC_030229	2	2	2
NC_030126	1	2	1
NC_030139	0	2	3
NC_030146	0	3	3
NC_030142	0	3	3
NC_030141	0	4	3
NC_030145	1	2	2
NC_030143	0	4	3
NC_030140	0	4	3
NC_030144	1	2	2
NC_030147	0	3	3
NC_030138	0	4	3
NC_030118	1	0	0
NC_030117	51	26	25
NC_030148	4	4	12
NC_030151	2	1	4
NC_030127	2	2	0
NC_030201	0	2	2
NC_030199	0	2	1
NC_030200	44	50	40
NC_030203	0	2	2
NC_030205	6	3	3
NC_030202	1	2	1
NC_030295	1	1	1
NC_030296	0	4	4
NC_030291	0	1	1
NC_030292	5	2	4
NC_030294	1	4	2
NC_030297	1	1	2
NC_030293	0	1	1
NC_030308	0	2	1
NC_018082	0	1	1
NC_018090	0	2	7
NC_018091	0	1	1
NC_018093	1	0	2
NC_030224	2	0	0
NC_030238	1	3	6
NC_030242	1	0	1
NC_030244	0	1	1
NC_030235	0	2	2
NC_030234	1	1	0
NC_030233	0	3	2
NC_030232	2	0	0
NC_030225	0	4	7
NC_030240	50	55	80
NC_030231	1	3	5
NC_030243	1	0	0
NC_030245	0	2	1
NC_030226	1	0	0
NC_030228	0	1	1
NC_030227	0	1	1
NC_030290	0	2	1
NC_023295	1	2	3
NC_027059	1	2	2
NC_023300	1	0	0
NC_023301	0	1	1
NC_023302	0	1	1
NC_023304	0	1	1
NC_023306	1	0	0
NC_023307	1	0	0
NC_023299	0	1	1
NC_023305	1	0	0
NC_023296	0	1	1
NC_023297	0	0	1
NC_023298	0	1	1
NC_023308	1	0	0
NC_023309	0	1	1
NC_023310	0	1	1
NC_023303	0	1	1
NC_023311	0	1	1
NC_027026	0	2	2
NC_027016	45	121	39
NC_027040	1	1	5
NC_027054	0	2	1
NC_023312	1	2	5
NC_026942	2	2	5
NC_026944	3	0	1
NC_026947	0	1	1
NC_026946	2	2	5
NC_026945	0	3	4
NC_026943	3	1	1
NC_027199	3	4	4
NC_027198	1	3	4
NC_027208	1	1	3
NC_027209	2	0	0
NC_027211	0	5	3
NC_027210	1	0	0
NC_027117	0	5	2
NC_027123	1	4	3
NC_027121	6	4	5
NC_027122	2	1	1
NC_027131	2	1	2
NC_027133	1	0	0
NC_027141	0	1	1
NC_027142	0	1	2
NC_027140	1	0	0
NC_027124	1	6	14
NC_027128	1	0	0
NC_027126	0	2	1
NC_027138	1	0	0
NC_027139	0	1	1
NC_027135	1	0	1
NC_027137	0	1	2
NC_027134	1	0	1
NC_027136	0	1	2
NC_027129	1	2	5
NC_027214	0	2	1
NC_027212	0	1	2
NC_027215	2	1	4
NC_027428	0	3	2
NC_027426	0	3	3
NC_027427	1	2	1
NC_027432	0	0	0
NC_027431	0	2	1
NC_027430	0	1	3
NC_027429	2	0	1
NC_027534	0	1	1
NC_027535	0	1	1
NC_027537	0	1	1
NC_027538	0	1	1
NC_027549	0	2	1
NC_027550	0	1	1
NC_027552	0	2	2
NC_027551	0	1	2
NC_027536	0	1	1
NC_027548	0	3	1
NC_027563	1	1	0
NC_027565	1	0	0
NC_027566	1	0	0
NC_027564	1	0	0
NC_027553	0	0	1
NC_027567	0	2	1
NC_027568	1	0	0
NC_027569	0	1	1
NC_027571	0	1	1
NC_027573	0	2	1
NC_027576	1	0	0
NC_027574	0	2	1
NC_027570	0	1	1
NC_027572	1	0	0
NC_027532	3	2	3
NC_027528	3	1	4
NC_027527	2	2	4
NC_027533	0	1	1
NC_027539	1	0	0
NC_027540	0	1	1
NC_027543	0	1	1
NC_027545	0	1	1
NC_027546	0	1	2
NC_027547	1	1	1
NC_027542	0	1	1
NC_027544	0	1	1
NC_027541	1	0	0
NC_027531	1	2	7
NC_027530	1	0	1
NC_027619	0	2	2
NC_027637	3	2	3
NC_027636	3	1	3
NC_027635	4	1	1
NC_027634	5	1	1
NC_027633	4	2	1
NC_027631	1	10	2
NC_027648	4	0	1
NC_027647	2	3	3
NC_027646	3	2	2
NC_027645	4	3	2
NC_027644	4	3	1
NC_027643	2	3	3
NC_027642	4	3	3
NC_027641	4	2	2
NC_027640	3	4	2
NC_027639	2	3	3
NC_027638	2	4	2
NC_027701	0	2	2
NC_027714	0	4	7
NC_027710	0	4	4
NC_027712	5	3	4
NC_027713	1	0	0
NC_027706	1	0	0
NC_027711	0	4	4
NC_027702	0	0	0
NC_027703	0	1	6
NC_027720	1	3	1
NC_027719	1	1	1
NC_027718	1	0	0
NC_027776	0	4	2
NC_027777	1	1	1
NC_027783	0	2	2
NC_027789	1	2	1
NC_027793	0	1	2
NC_027791	1	1	1
NC_027787	1	1	1
NC_027782	2	0	0
NC_027785	2	2	0
NC_027784	0	1	2
NC_027795	1	0	1
NC_027796	0	2	1
NC_027781	1	2	1
NC_027802	1	0	0
NC_027808	0	2	1
NC_027809	0	0	1
NC_027810	0	2	1
NC_035937	0	1	1
NC_035938	0	1	1
NC_035939	0	1	1
NC_035935	0	1	1
NC_035936	0	1	1
NC_027816	1	0	0
NC_027804	0	1	1
NC_027805	0	1	1
NC_027806	0	1	1
NC_027811	1	0	0
NC_027812	0	1	1
NC_027813	0	1	1
NC_027803	0	1	1
NC_027807	0	1	1
NC_027814	1	0	0
NC_027815	0	1	1
NC_027779	4	1	2
NC_027790	1	0	0
NC_027799	1	1	1
NC_027797	0	2	2
NC_027780	1	1	1
NC_027798	0	2	2
NC_027800	2	0	0
NC_027792	0	3	2
NC_027786	1	1	1
NC_027794	1	1	1
NC_027788	1	1	1
NC_027801	0	4	2
NC_027822	1	1	0
NC_027823	1	0	0
NC_027916	16	48	94
NC_027915	0	2	1
NC_027821	1	2	2
NC_027818	1	0	0
NC_027820	0	5	3
NC_027920	1	0	0
NC_030690	2	3	4
NC_029255	35	46	42
NC_027924	5	1	1
NC_027923	46	50	99
NC_027917	1	0	0
NC_027919	0	1	1
NC_027918	1	0	0
NC_027926	0	3	1
NC_027927	2	0	0
NC_027922	0	2	3
NC_027928	1	0	0
NC_027929	0	1	2
NC_027930	2	0	0
NC_027921	0	2	1
NC_027998	0	1	1
NC_028044	1	2	1
NC_028045	1	1	1
NC_028046	0	2	6
NC_028099	36	44	51
NC_028097	0	3	1
NC_028098	0	2	2
NC_028115	0	1	1
NC_028126	4	0	4
NC_028125	4	2	2
NC_028134	0	2	2
NC_028133	0	2	1
NC_028124	2	1	4
NC_028114	1	1	5
NC_028111	3	1	3
NC_028129	0	2	4
NC_028119	1	2	4
NC_028117	1	2	4
NC_028132	0	1	0
NC_028131	0	1	0
NC_028116	0	1	1
NC_028128	1	2	0
NC_028130	0	1	1
NC_028123	1	2	3
NC_028120	1	3	3
NC_028127	2	3	3
NC_030688	1	3	5
NC_028368	0	1	1
NC_028374	0	2	1
NC_028371	0	6	1
NC_028376	1	0	0
NC_028365	0	1	1
NC_028364	0	1	1
NC_028363	0	1	1
NC_028378	1	1	2
NC_028372	1	0	0
NC_028370	0	2	1
NC_028377	0	1	1
NC_028367	1	0	0
NC_028373	1	0	0
NC_028369	0	2	1
NC_028375	1	0	0
NC_028387	0	3	2
NC_028382	0	1	1
NC_028383	0	1	1
NC_028386	0	1	2
NC_028384	0	2	2
NC_028385	0	2	2
NC_028389	0	1	1
NC_028388	0	1	1
NC_028391	0	1	2
NC_028392	1	1	1
NC_028396	0	2	1
NC_028397	0	1	1
NC_028393	1	0	1
NC_028398	1	0	0
NC_028399	0	1	1
NC_028394	0	2	2
NC_028395	0	1	1
NC_028402	1	2	1
NC_028400	0	1	1
NC_028401	1	1	1
NC_028136	1	0	2
NC_028144	1	0	0
NC_028145	1	1	0
NC_028142	1	1	4
NC_028143	1	1	1
NC_028141	0	2	2
NC_028140	0	2	5
NC_028137	1	1	0
NC_028138	1	0	1
NC_004732	3	0	1
NC_028146	0	1	1
NC_028139	0	1	1
NC_028240	0	1	1
NC_028230	4	2	2
NC_028243	1	3	3
NC_028232	1	5	7
NC_028242	1	1	1
NC_028239	7	3	4
NC_028236	2	2	5
NC_028241	3	6	8
NC_028244	5	3	5
NC_028231	1	4	5
NC_028249	2	5	6
NC_028246	6	2	3
NC_028253	1	0	0
NC_028252	1	0	1
NC_028250	1	1	0
NC_028251	1	0	0
NC_028255	3	1	2
NC_028265	2	0	1
NC_028264	1	3	1
NC_028263	2	1	1
NC_028261	2	2	0
NC_028260	0	3	3
NC_028259	2	2	1
NC_028267	1	3	5
NC_028271	0	0	0
NC_028262	1	2	4
NC_028266	0	3	3
NC_028362	4	2	2
NC_028470	0	3	2
NC_028467	0	2	2
NC_028490	0	1	1
NC_028488	2	0	0
NC_028486	1	1	1
NC_028485	0	2	2
NC_028483	1	1	1
NC_028481	0	2	2
NC_028480	2	0	0
NC_028491	73	37	52
NC_028476	0	0	1
NC_028474	0	3	1
NC_028472	0	7	1
NC_028471	0	4	1
NC_028475	0	4	1
NC_028473	0	4	1
NC_028478	2	2	2
NC_028482	1	2	2
NC_028477	1	1	1
NC_028494	0	1	1
NC_028499	1	1	0
NC_028495	1	0	0
NC_028496	1	1	0
NC_028497	1	0	0
NC_028500	1	0	0
NC_028636	51	47	80
NC_028635	2	2	4
NC_028649	3	1	3
NC_028462	1	2	0
NC_028492	2	1	3
NC_028466	0	1	1
NC_037570	0	2	1
NC_037571	0	2	1
NC_037572	1	0	0
NC_028465	0	1	2
NC_037574	1	2	1
NC_037576	2	0	0
NC_037577	0	1	1
NC_037578	0	1	1
NC_037573	0	2	1
NC_037575	0	3	1
NC_023339	1	2	4
NC_028752	4	2	3
NC_028650	1	2	2
NC_029122	0	2	1
NC_029123	0	2	1
NC_029124	0	1	1
NC_028891	4	11	11
NC_028902	2	2	2
NC_028975	1	6	4
NC_028868	1	2	4
NC_028949	0	3	1
NC_028989	1	2	5
NC_028921	0	2	2
NC_028973	1	2	2
NC_028981	0	2	1
NC_028970	0	1	1
NC_028964	0	1	1
NC_028806	4	3	5
NC_029034	0	3	2
NC_029037	1	1	2
NC_029035	0	2	2
NC_028948	1	1	1
NC_028994	1	4	0
NC_028993	0	8	1
NC_029014	4	1	0
NC_029012	5	0	1
NC_028867	3	2	5
NC_028824	3	4	3
NC_028814	2	6	5
NC_028833	2	5	4
NC_028811	2	4	4
NC_029038	0	2	1
