ID	CDSs_PHANOTATE
NC_043427	61
NC_003345	139
NC_001902	47
NC_004084	117
NC_007914	38
NC_007918	45
NC_004087	57
NC_004086	82
NC_002628	55
NC_003214	80
NC_004927	138
NC_001338	37
NC_005265	33
NC_005361	35
NC_005360	38
NC_005892	44
NC_005872	55
NC_006268	116
NC_006556	43
NC_009884	70
NC_009965	43
NC_007409	84
NC_007217	60
NC_010155	74
NC_010152	76
NC_010153	74
NC_010154	68
NC_008695	77
NC_009597	27
NC_009452	62
NC_009986	34
NC_011217	34
NC_010342	67
NC_010537	89
NC_025375	48
NC_012558	11
NC_013587	36
NC_013588	33
NC_013585	41
NC_043030	14
NC_013758	11
NC_014099	38
NC_021537	68
NC_014322	52
NC_014321	22
NC_028268	66
NC_028256	30
NC_016899	39
NC_020077	111
NC_016989	55
NC_017087	18
NC_017088	13
NC_017089	13
NC_017090	18
NC_019413	49
NC_020159	125
NC_020158	190
NC_021471	56
NC_021330	172
NC_021319	88
NC_021327	176
NC_021328	306
NC_021322	80
NC_021340	92
NC_021329	76
NC_021320	136
NC_021335	129
NC_021321	147
NC_020998	53
NC_020882	26
NC_023585	74
NC_023592	9
NC_025213	17
NC_029020	83
NC_003158	38
NC_028938	62
NC_028787	70
NC_029314	55
NC_029103	117
NC_029011	90
NC_029027	83
NC_028992	70
NC_030848	56
NC_029316	123
NC_029548	42
NC_030884	62
NC_036595	38
NC_047943	27
NC_038017	48
NC_034625	64
NC_034624	67
NC_034628	73
NC_034621	73
NC_034627	70
NC_034619	69
NC_034623	75
NC_034620	76
NC_042347	45
NC_048160	33
NC_048037	69
NC_048128	73
NC_048127	56
NC_048157	18
NC_048158	19
NC_048156	20
NC_048199	64
NC_052650	97
NC_001422	8
NC_027637	9
NC_027636	6
NC_027635	6
NC_027634	7
NC_027633	7
NC_027648	7
NC_027647	6
NC_027646	5
NC_027645	7
NC_027644	7
NC_027643	7
NC_027642	8
NC_027641	8
NC_027640	7
NC_027639	5
NC_027638	8
NC_028902	5
NC_028994	5
NC_028993	8
NC_029014	11
NC_029012	8
NC_030458	10
NC_030472	9
NC_023586	22
NC_010429	13
NC_018862	7
NC_019453	3
NC_019548	15
NC_019707	3
NC_019922	4
NC_019920	4
NC_021562	14
NC_021569	18
NC_021797	15
NC_021793	29
NC_021805	14
NC_021866	9
NC_021862	25
NC_025454	14
NC_025824	12
NC_026013	8
NC_022790	7
NC_026582	9
NC_026613	13
NC_026612	10
NC_001730	9
NC_001418	10
NC_001956	14
NC_001998	10
NC_001890	5
NC_006294	18
NC_007821	9
NC_007856	6
NC_004306	18
NC_005948	17
NC_012868	10
NC_001741	7
NC_003300	8
NC_003299	7
NC_003301	7
NC_003327	18
NC_002194	7
NC_015785	11
NC_003460	14
NC_004173	9
NC_004175	9
NC_002700	5
NC_003287	12
NC_002363	13
NC_001628	3
NC_004736	18
NC_001954	16
NC_002180	9
NC_007189	16
NC_001330	14
NC_002014	12
NC_004301	6
NC_001420	8
NC_010391	72
NC_010392	82
NC_002362	17
NC_001835	65
NC_005131	15
NC_004172	6
NC_001332	15
NC_003714	8
NC_008574	17
NC_008575	11
NC_008294	4
NC_012757	16
NC_001426	4
NC_016162	15
NC_015297	10
NC_008363	64
NC_007817	6
NC_002643	9
NC_015586	11
NC_004171	11
NC_003715	8
NC_003716	11
NC_001331	15
NC_001396	16
NC_004174	7
NC_004170	8
