Genome	TP	FP	FN
NC_001798	46	51	31
NC_030692	2	2	4
NC_027892	2	3	4
NC_029642	3	1	3
NC_001607	3	1	3
NC_001422	4	2	5
NC_029549	0	1	1
NC_029550	1	0	0
NC_029551	0	1	1
NC_029552	1	0	0
NC_029553	1	0	0
NC_029570	1	0	0
NC_029554	0	1	1
NC_029555	1	0	0
NC_029558	0	1	1
NC_029559	0	1	1
NC_029560	0	1	1
NC_029561	1	0	0
NC_029571	1	0	0
NC_029572	1	0	0
NC_029573	1	0	0
NC_029567	0	1	1
NC_029562	1	0	0
NC_029568	0	1	1
NC_029563	1	0	0
NC_029564	0	1	1
NC_029565	1	0	0
NC_029566	1	0	0
NC_029556	0	1	1
NC_029557	0	1	1
NC_029569	1	0	0
NC_029574	1	0	0
NC_029575	1	0	0
NC_029578	0	4	0
NC_029617	2	4	1
NC_030691	2	2	4
NC_017862	2	3	5
NC_017936	1	1	1
NC_017937	5	1	3
NC_017938	1	0	0
NC_017939	1	0	0
NC_029648	3	0	3
NC_017977	0	1	2
NC_017967	0	1	2
NC_017970	1	0	1
NC_017988	0	1	1
NC_017989	1	0	0
NC_017987	3	0	3
NC_017993	2	3	5
NC_017994	3	1	4
NC_029691	2	2	4
NC_017916	3	0	2
NC_017914	2	2	3
NC_017917	1	2	3
NC_017913	2	0	0
NC_011348	3	0	2
NC_017995	2	3	5
NC_017996	5	1	2
NC_017997	5	1	2
NC_017990	0	1	1
NC_017991	0	1	1
NC_029803	2	0	0
NC_029804	3	0	3
NC_029783	7	1	5
NC_029782	0	1	1
NC_029797	1	1	2
NC_029799	1	0	0
NC_029800	2	0	0
NC_038232	2	0	0
NC_029802	1	0	0
NC_029801	2	0	0
NC_018072	2	0	0
NC_018071	2	0	0
NC_018070	0	1	1
NC_029853	1	3	1
NC_029852	2	2	2
NC_029854	1	0	0
NC_018074	4	1	2
NC_018075	3	2	3
NC_018076	4	1	2
NC_029994	3	1	3
NC_029991	1	0	0
NC_029996	93	25	52
NC_029995	2	0	4
NC_029993	2	4	3
NC_029992	6	1	8
NC_029997	80	13	39
NC_029936	1	0	0
NC_029931	1	0	0
NC_029935	1	0	0
NC_029900	2	1	3
NC_029901	1	0	0
NC_037612	0	1	1
NC_037613	2	0	0
NC_029903	0	1	1
NC_037614	1	0	0
NC_037615	2	0	0
NC_029932	1	0	0
NC_029933	1	0	0
NC_036636	1	0	0
NC_029921	1	0	0
NC_029922	0	1	1
NC_029923	0	1	1
NC_029924	0	1	1
NC_029925	0	1	1
NC_029928	0	1	1
NC_029929	0	1	1
NC_029930	1	0	0
NC_029927	1	0	0
NC_029926	0	1	1
NC_035887	3	1	2
NC_035888	2	0	0
NC_029905	0	1	1
NC_029906	2	2	4
NC_029911	1	0	0
NC_029912	1	0	0
NC_029913	0	1	1
NC_029916	0	1	1
NC_029915	0	1	1
NC_029917	1	0	0
NC_029918	0	1	1
NC_029919	0	1	1
NC_029914	0	1	1
NC_029920	1	1	1
NC_029907	1	0	1
NC_037579	0	1	0
NC_037580	0	1	0
NC_037581	2	0	0
NC_037582	1	0	0
NC_037588	0	1	1
NC_037585	1	0	0
NC_037586	0	1	1
NC_037587	1	0	0
NC_029904	0	1	1
NC_037589	1	0	0
NC_037583	1	0	0
NC_037584	1	0	0
NC_029989	2	0	0
NC_029990	3	1	3
NC_030152	0	1	1
NC_030159	1	0	0
NC_030160	1	0	0
NC_030161	0	1	1
NC_030162	1	0	0
NC_030153	1	0	0
NC_030154	0	1	1
NC_030155	1	0	0
NC_030157	1	0	0
NC_030158	1	0	0
NC_030163	0	1	1
NC_030156	0	1	1
NC_030115	1	1	1
NC_030236	1	0	0
NC_030229	2	2	2
NC_030126	2	0	0
NC_030139	0	3	3
NC_030146	1	2	2
NC_030142	0	3	3
NC_030141	0	3	3
NC_030145	1	2	2
NC_030143	1	2	2
NC_030140	0	4	3
NC_030144	1	1	2
NC_030147	0	4	3
NC_030138	2	0	1
NC_030118	1	0	0
NC_030117	59	6	17
NC_030148	7	3	9
NC_030151	4	1	2
NC_030127	2	1	0
NC_030201	2	0	0
NC_030199	0	2	1
NC_030200	50	28	34
NC_030203	1	1	1
NC_030205	5	0	4
NC_030202	2	0	0
NC_030295	2	0	0
NC_030296	2	2	2
NC_030291	0	1	1
NC_030292	6	1	3
NC_030294	3	0	0
NC_030297	0	1	3
NC_030293	0	1	1
NC_030308	1	0	0
NC_018082	1	0	0
NC_018090	1	2	6
NC_018091	0	1	1
NC_018093	1	0	2
NC_030224	2	0	0
NC_030238	2	2	5
NC_030242	1	0	1
NC_030244	0	1	1
NC_030235	2	0	0
NC_030234	1	0	0
NC_030233	2	0	0
NC_030232	2	0	0
NC_030225	1	4	6
NC_030240	96	15	34
NC_030231	5	1	1
NC_030243	1	0	0
NC_030245	1	0	0
NC_030226	1	0	0
NC_030228	1	0	0
NC_030227	1	0	0
NC_030290	0	1	1
NC_023295	1	2	3
NC_027059	1	0	2
NC_023300	1	0	0
NC_023301	1	0	0
NC_023302	1	0	0
NC_023304	1	0	0
NC_023306	1	0	0
NC_023307	0	0	1
NC_023299	0	1	1
NC_023305	0	0	1
NC_023296	0	1	1
NC_023297	0	0	1
NC_023298	0	0	1
NC_023308	1	0	0
NC_023309	1	0	0
NC_023310	1	0	0
NC_023303	1	0	0
NC_023311	1	0	0
NC_027026	0	2	2
NC_027016	68	105	16
NC_027040	2	0	4
NC_027054	1	0	0
NC_023312	2	0	4
NC_026942	2	3	5
NC_026944	2	1	2
NC_026947	0	1	1
NC_026946	3	1	4
NC_026945	0	2	4
NC_026943	3	1	1
NC_027199	3	2	4
