ID	CDSs_PRODIGAL
NC_001338	34
NC_001902	42
NC_002628	47
NC_003158	35
NC_003214	72
NC_003345	119
NC_004084	101
NC_004086	52
NC_004087	46
NC_004927	118
NC_005265	28
NC_005360	35
NC_005361	29
NC_005872	47
NC_005892	37
NC_006268	75
NC_006556	40
NC_007217	49
NC_007409	66
NC_007914	28
NC_007918	29
NC_008695	66
NC_009452	52
NC_009597	23
NC_009884	52
NC_009965	32
NC_009986	29
NC_010152	64
NC_010153	58
NC_010154	62
NC_010155	68
NC_010342	53
NC_010537	74
NC_011217	30
NC_012558	9
NC_013585	37
NC_013587	34
NC_013588	30
NC_013758	9
NC_014099	31
NC_014321	16
NC_014322	42
NC_016899	35
NC_016989	47
NC_017087	13
NC_017088	12
NC_017089	10
NC_017090	16
NC_019413	38
NC_020077	78
NC_020158	168
NC_020159	103
NC_020882	22
NC_020998	39
NC_021319	75
NC_021320	115
NC_021321	121
NC_021322	68
NC_021327	157
NC_021328	265
NC_021329	70
NC_021330	153
NC_021335	105
NC_021340	84
NC_021471	52
NC_021537	61
NC_023585	56
NC_023592	10
NC_025213	11
NC_025375	36
NC_028256	21
NC_028268	52
NC_028787	62
NC_028938	53
NC_028992	59
NC_029011	67
NC_029020	63
NC_029027	65
NC_029103	85
NC_029314	44
NC_029316	95
NC_029548	39
NC_030848	44
NC_030884	45
NC_034619	51
NC_034620	58
NC_034621	56
NC_034623	59
NC_034624	49
NC_034625	47
NC_034627	55
NC_034628	53
NC_036595	34
NC_038017	42
NC_042347	39
NC_043030	13
NC_043427	54
NC_047943	21
NC_048037	61
NC_048127	53
NC_048128	63
NC_048156	17
NC_048157	16
NC_048158	16
NC_048160	28
NC_048199	39
NC_052650	92
NC_000866	262
NC_000867	20
NC_000871	47
NC_000872	55
NC_000896	65
NC_000902	83
NC_000924	83
NC_000929	53
NC_000935	40
NC_001271	46
NC_001317	41
NC_001330	9
NC_001331	14
NC_001332	10
NC_001335	91
NC_001396	14
NC_001416	67
NC_001417	3
NC_001418	9
NC_001420	6
NC_001421	27
NC_001422	8
NC_001423	26
