Genome	TP	FP	FN
NC_001798	44	24	33
NC_030692	1	1	5
NC_027892	0	3	6
NC_029642	1	2	5
NC_001607	0	2	6
NC_001422	1	2	8
NC_029550	1	0	0
NC_029551	1	0	0
NC_029553	1	0	0
NC_029570	0	1	1
NC_029554	1	0	0
NC_029555	1	0	0
NC_029559	0	1	1
NC_029560	0	1	1
NC_029571	1	0	0
NC_029573	1	0	0
NC_029567	0	1	1
NC_029562	0	1	1
NC_029563	1	0	0
NC_029564	0	1	1
NC_029565	1	0	0
NC_029566	1	0	0
NC_029557	0	1	1
NC_029569	1	0	0
NC_029574	0	1	1
NC_029575	0	1	1
NC_029578	0	2	0
NC_029617	1	2	2
NC_030691	1	2	5
NC_017862	1	1	6
NC_017936	0	1	2
NC_017937	2	3	6
NC_017938	1	0	0
NC_017939	1	0	0
NC_029648	1	1	5
NC_017977	0	1	2
NC_017967	1	0	1
NC_017970	0	1	2
NC_017988	1	0	0
NC_017989	0	1	1
NC_017987	2	0	4
NC_017993	1	2	6
NC_017994	0	2	7
NC_029691	1	3	5
NC_017916	0	1	5
NC_017914	0	2	5
NC_017917	1	1	3
NC_017913	1	0	1
NC_011348	1	1	4
NC_017995	0	2	7
NC_017996	0	2	7
NC_017997	0	2	7
NC_017990	0	1	1
NC_017991	0	1	1
NC_029803	1	0	1
NC_029804	2	0	4
NC_029783	0	4	12
NC_029782	0	1	1
NC_029797	0	1	3
NC_029799	0	1	1
NC_029800	2	0	0
NC_038232	2	0	0
NC_029802	0	1	1
NC_029801	0	1	2
NC_018072	1	1	1
NC_018071	2	0	0
NC_018070	0	1	1
NC_029853	0	1	2
NC_029852	1	2	3
NC_029854	0	1	1
NC_018074	0	1	6
NC_018075	2	2	4
NC_018076	0	3	6
NC_029994	1	1	5
NC_029991	0	1	1
NC_029996	35	37	110
NC_029995	1	1	5
NC_029993	0	3	5
NC_029992	0	1	14
NC_029997	19	23	100
NC_029936	1	0	0
NC_029931	1	0	0
NC_029935	1	0	0
NC_029900	0	1	5
NC_029901	1	0	0
NC_037612	0	1	1
NC_037613	2	0	0
NC_029903	1	0	0
NC_037614	0	1	1
NC_037615	1	0	1
NC_029932	1	0	0
NC_029933	0	1	1
NC_036636	1	0	0
NC_029929	1	0	0
NC_029927	0	1	1
NC_035887	0	1	5
NC_035888	1	1	1
NC_029905	0	1	1
NC_029906	2	2	4
NC_029911	1	0	0
NC_029912	1	0	0
NC_029913	1	0	0
NC_029916	0	1	1
NC_029917	1	0	0
NC_029918	0	1	1
NC_029914	1	0	0
NC_029920	1	0	1
NC_029907	1	0	1
NC_037579	0	1	0
NC_037580	0	2	0
NC_037581	2	0	0
NC_037582	1	0	0
NC_037588	1	0	0
NC_037585	1	0	0
NC_037586	1	0	0
NC_037587	1	0	0
NC_029904	1	0	0
NC_037589	1	0	0
NC_037583	1	0	0
NC_037584	1	0	0
NC_029989	1	1	1
NC_029990	0	1	6
NC_030152	1	0	0
NC_030159	0	1	1
NC_030160	1	0	0
NC_030161	1	0	0
NC_030162	0	1	1
NC_030153	0	1	1
NC_030154	0	1	1
NC_030155	0	1	1
NC_030157	1	0	0
NC_030158	0	1	1
NC_030163	1	0	0
NC_030156	0	1	1
NC_030115	0	2	2
NC_030236	0	1	1
NC_030229	0	1	4
NC_030126	0	2	2
NC_030139	1	1	2
NC_030146	2	0	1
NC_030142	2	0	1
NC_030141	2	0	1
NC_030145	2	0	1
NC_030143	1	1	2
NC_030140	1	1	2
NC_030144	1	1	2
NC_030147	2	0	1
NC_030138	2	0	1
NC_030118	0	1	1
NC_030117	9	7	67
NC_030148	0	4	16
NC_030151	1	1	5
NC_030127	0	2	2
NC_030201	0	2	2
NC_030199	1	0	0
NC_030200	6	16	78
NC_030203	1	1	1
NC_030205	3	0	6
NC_030202	0	2	2
NC_030295	1	0	1
NC_030296	1	1	3
NC_030291	0	1	1
NC_030292	0	2	9
NC_030294	1	2	2
NC_030297	0	1	3
NC_030293	0	1	1
NC_030308	1	0	0
NC_018082	1	0	0
NC_018090	1	1	6
NC_018091	0	1	1
NC_018093	0	1	3
NC_030224	1	1	1
NC_030238	1	1	6
NC_030242	0	1	2
NC_030244	0	1	1
NC_030235	1	1	1
