Genome	TP	FP	FN
NC_001798	21	44	56
NC_030692	0	1	6
NC_027892	1	2	5
NC_029642	0	2	6
NC_001607	0	1	6
NC_001422	5	0	4
NC_029560	0	1	1
NC_029571	1	0	0
NC_029557	0	1	1
NC_029617	1	2	2
NC_017936	0	2	2
NC_017967	0	1	2
NC_017970	0	2	2
NC_017989	0	1	1
NC_017987	0	1	6
NC_017993	1	0	6
NC_017994	0	1	7
NC_029691	0	3	6
NC_017916	1	1	4
NC_017917	0	1	4
NC_017913	0	1	2
NC_011348	0	3	5
NC_017990	0	1	1
NC_017991	0	1	1
NC_029797	0	2	3
NC_029800	0	1	2
NC_029801	1	0	1
NC_029854	1	0	0
NC_029994	0	1	6
NC_029996	15	43	130
NC_029993	0	2	5
NC_029992	0	3	14
NC_029997	11	17	108
NC_029936	1	0	0
NC_029931	0	1	1
NC_029900	0	1	5
NC_029901	0	1	1
NC_037612	0	1	1
NC_029903	0	1	1
NC_029932	1	0	0
NC_035887	0	2	5
NC_035888	0	1	2
NC_029906	0	1	6
NC_029911	0	1	1
NC_029912	0	1	1
NC_029913	0	1	1
NC_029917	1	0	0
NC_029918	1	0	0
NC_029914	0	1	1
NC_037580	0	1	0
NC_037582	1	0	0
NC_037588	0	1	1
NC_037585	1	0	0
NC_037586	0	1	1
NC_037587	0	1	1
NC_029904	0	1	1
NC_037584	0	1	1
NC_029989	1	0	1
NC_029990	0	1	6
NC_030152	0	1	1
NC_030159	0	1	1
NC_030160	0	1	1
NC_030161	0	1	1
NC_030153	0	1	1
NC_030155	0	1	1
NC_030157	0	1	1
NC_030158	0	1	1
NC_030163	1	0	0
NC_030115	0	2	2
NC_030236	0	2	1
NC_030126	0	1	2
NC_030139	0	1	3
NC_030146	0	2	3
NC_030142	0	1	3
NC_030141	0	2	3
NC_030145	0	1	3
NC_030143	0	1	3
NC_030140	0	1	3
NC_030147	0	1	3
NC_030138	0	2	3
NC_030118	0	1	1
NC_030117	0	3	76
NC_030148	0	1	16
NC_030127	1	0	1
NC_030201	0	1	2
NC_030200	2	6	82
NC_030203	0	1	2
NC_030205	1	1	8
NC_030202	0	1	2
NC_030296	0	3	4
NC_030291	0	1	1
NC_030292	2	2	7
NC_030294	1	1	2
NC_030293	0	1	1
NC_018090	0	1	7
NC_018091	0	1	1
