ID	CDSs_FRAGGENESCAN
NC_001338	30
NC_001902	38
NC_002628	43
NC_003158	30
NC_003214	64
NC_003345	102
NC_004084	90
NC_004086	52
NC_004087	43
NC_004927	101
NC_005265	28
NC_005360	30
NC_005361	27
NC_005872	46
NC_005892	35
NC_006268	73
NC_006556	37
NC_007217	43
NC_007409	65
NC_007914	25
NC_007918	24
NC_008695	46
NC_009452	46
NC_009597	22
NC_009884	47
NC_009965	31
NC_009986	27
NC_010152	59
NC_010153	54
NC_010154	59
NC_010155	59
NC_010342	49
NC_010537	64
NC_011217	27
NC_012558	10
NC_013585	32
NC_013587	28
NC_013588	28
NC_013758	9
NC_014099	28
NC_014321	13
NC_014322	37
NC_016899	28
NC_016989	39
NC_017087	13
NC_017088	10
NC_017089	10
NC_017090	11
NC_019413	42
NC_020077	72
NC_020158	144
NC_020159	87
NC_020882	20
NC_020998	36
NC_021319	74
NC_021320	99
NC_021321	107
NC_021322	67
NC_021327	136
NC_021328	248
NC_021329	57
NC_021330	131
NC_021335	90
NC_021340	69
NC_021471	44
NC_021537	47
NC_023585	57
NC_023592	8
NC_025213	9
NC_025375	34
NC_028256	17
NC_028268	43
NC_028787	52
NC_028938	44
NC_028992	51
NC_029011	68
NC_029020	60
NC_029027	58
NC_029103	85
NC_029314	40
NC_029316	88
NC_029548	34
NC_030848	43
NC_030884	46
NC_034619	49
NC_034620	54
NC_034621	54
NC_034623	53
NC_034624	44
NC_034625	45
NC_034627	53
NC_034628	51
NC_036595	33
NC_038017	31
NC_042347	32
NC_043030	10
NC_043427	43
NC_047943	23
NC_048037	49
NC_048127	53
NC_048128	58
NC_048156	13
NC_048157	13
NC_048158	14
NC_048160	20
NC_048199	37
NC_052650	82
NC_000866	242
NC_000867	16
NC_000871	43
NC_000872	52
NC_000896	58
NC_000902	82
NC_000924	80
NC_000929	50
NC_000935	42
NC_001271	44
NC_001317	39
NC_001330	8
NC_001331	13
NC_001332	8
NC_001335	82
NC_001396	16
NC_001416	63
