ID	CDSs_GLIMMER
NC_001338	17
NC_001902	35
NC_002628	42
NC_003158	15
NC_003214	40
NC_003345	52
NC_004084	53
NC_004086	23
NC_004087	20
NC_004927	49
NC_005265	20
NC_005360	20
NC_005361	17
NC_005872	36
NC_005892	28
NC_006268	59
NC_006556	19
NC_007217	33
NC_007409	52
NC_007914	8
NC_007918	6
NC_008695	43
NC_009452	27
NC_009597	23
NC_009884	32
NC_009965	18
NC_009986	21
NC_010152	38
NC_010153	37
NC_010154	39
NC_010155	38
NC_010342	23
NC_010537	38
NC_011217	19
NC_012558	5
NC_013585	24
NC_013587	21
NC_013588	17
NC_013758	6
NC_014099	19
NC_014321	11
NC_014322	33
NC_016899	29
NC_016989	16
NC_017087	7
NC_017088	4
NC_017089	6
NC_017090	8
NC_019413	16
NC_020077	58
NC_020158	82
NC_020159	46
NC_020882	16
NC_020998	31
NC_021319	70
NC_021320	59
NC_021321	51
NC_021322	33
NC_021327	80
NC_021328	92
NC_021329	19
NC_021330	73
NC_021335	44
NC_021340	52
NC_021471	20
NC_021537	39
NC_023585	35
NC_023592	8
NC_025213	3
NC_025375	18
NC_028256	21
NC_028268	45
NC_028787	40
NC_028938	33
NC_028992	47
NC_029011	49
NC_029020	43
NC_029027	37
NC_029103	58
NC_029314	28
NC_029316	70
NC_029548	36
NC_030848	34
NC_030884	21
NC_034619	24
NC_034620	27
NC_034621	24
NC_034623	27
NC_034624	23
NC_034625	21
NC_034627	23
NC_034628	26
NC_036595	32
NC_038017	25
NC_042347	24
NC_043030	11
NC_043427	56
NC_047943	9
NC_048037	31
NC_048127	42
NC_048128	42
NC_048156	4
NC_048157	5
NC_048158	4
NC_048160	16
NC_048199	15
NC_052650	43
NC_000866	209
NC_000867	10
NC_000871	30
NC_000872	31
NC_000896	41
NC_000902	33
NC_000924	37
NC_000929	24
NC_000935	24
NC_001271	23
NC_001317	29
NC_001330	9
NC_001331	5
NC_001332	7
NC_001335	36
NC_001396	6
NC_001416	35
NC_001417	2
NC_001418	8
NC_001420	5
NC_001421	19
NC_001422	6
NC_001423	18
NC_001426	3
NC_001604	28
NC_001609	10
NC_001628	2
NC_001629	24
NC_001697	24
NC_001706	22
NC_001730	8
NC_001741	5
NC_001825	17
NC_001835	31
NC_001884	125
NC_001890	3
NC_001895	25
NC_001900	39
NC_001901	32
NC_001909	35
NC_001954	9
NC_001956	6
NC_001978	33
NC_001998	5
NC_002014	7
NC_002072	30
NC_002166	27
NC_002167	28
NC_002180	6
NC_002185	33
NC_002194	5
NC_002214	38
NC_002321	38
NC_002362	5
NC_002363	4
NC_002371	29
NC_002484	35
NC_002486	44
NC_002519	35
NC_002643	5
NC_002649	20
NC_002656	37
NC_002661	45
NC_002666	35
NC_002667	43
NC_002668	38
NC_002669	14
NC_002670	17
NC_002671	14
NC_002700	3
NC_002703	34
NC_002730	28
NC_002747	33
NC_002796	34
NC_003050	37
NC_003085	53
NC_003157	39
NC_003216	47
NC_003278	29
NC_003287	6
NC_003288	35
NC_003291	40
NC_003298	26
NC_003299	5
NC_003300	3
NC_003301	2
NC_003309	36
NC_003313	27
NC_003315	28
NC_003324	35
NC_003327	11
NC_003356	35
NC_003387	49
NC_003390	29
NC_003444	32
NC_003460	5
NC_003524	26
NC_003714	1
NC_003715	4
NC_003716	3
NC_003907	30
NC_004066	38
NC_004112	27
NC_004165	19
NC_004166	31
NC_004167	28
NC_004170	2
NC_004171	4
NC_004172	4
NC_004173	5
NC_004174	2
NC_004175	3
NC_004301	2
NC_004302	37
NC_004303	40
NC_004305	41
NC_004306	9
NC_004313	30
NC_004333	40
NC_004348	26
NC_004456	36
NC_004462	19
NC_004466	37
NC_004584	38
NC_004585	45
NC_004586	33
NC_004587	38
NC_004588	38
NC_004589	36
NC_004615	37
NC_004616	37
NC_004617	35
NC_004629	281
NC_004664	31
NC_004665	23
NC_004678	17
NC_004679	18
NC_004680	44
NC_004681	48
NC_004682	38
NC_004683	43
NC_004684	68
NC_004685	62
NC_004686	41
NC_004687	129
NC_004688	63
NC_004689	37
NC_004735	106
NC_004736	9
NC_004740	39
NC_004745	23
NC_004746	34
NC_004775	27
NC_004777	27
NC_004813	42
NC_004814	10
NC_004820	43
NC_004821	33
NC_004827	35
NC_004831	38
NC_004902	30
NC_004913	34
NC_004914	35
NC_004928	202
NC_004996	36
NC_005045	30
NC_005056	26
NC_005066	180
NC_005069	33
NC_005083	230
NC_005091	39
NC_005131	8
NC_005135	164
NC_005178	28
NC_005258	13
NC_005259	42
NC_005260	231
NC_005262	54
NC_005263	36
NC_005282	80
NC_005284	39
NC_005294	40
NC_005340	27
NC_005342	38
NC_005344	32
NC_005345	57
NC_005354	39
NC_005355	34
NC_005356	42
NC_005357	33
NC_005822	32
NC_005833	41
NC_005841	32
NC_005856	65
NC_005857	30
NC_005859	117
NC_005879	23
NC_005880	125
NC_005882	28
NC_005884	33
NC_005885	49
NC_005886	32
NC_005887	40
NC_005891	22
NC_005893	37
NC_005948	7
NC_005949	7
NC_006294	9
NC_006356	33
NC_006548	35
NC_006552	42
NC_006557	28
NC_006565	103
NC_006820	167
NC_006882	25
NC_006883	217
NC_006884	114
NC_006936	27
NC_006938	53
NC_006940	22
NC_006945	16
NC_006949	32
NC_006953	38
NC_007019	27
NC_007021	116
NC_007022	160
NC_007023	175
NC_007024	28
NC_007045	14
NC_007046	18
NC_007047	45
NC_007048	42
NC_007049	40
NC_007050	36
NC_007051	42
NC_007052	46
NC_007053	37
NC_007054	38
NC_007055	33
NC_007056	37
NC_007057	35
NC_007058	41
NC_007059	39
NC_007060	38
NC_007061	41
NC_007062	34
NC_007063	38
NC_007064	37
NC_007065	36
NC_007066	116
NC_007145	33
NC_007149	39
NC_007189	6
NC_007291	54
NC_007451	19
NC_007456	24
NC_007458	27
NC_007461	5
NC_007497	32
NC_007501	35
NC_007581	145
NC_007603	40
NC_007610	85
NC_007623	135
NC_007636	26
NC_007637	43
NC_007709	27
NC_007710	27
NC_007734	29
NC_007804	25
NC_007805	33
NC_007806	29
NC_007807	33
NC_007808	44
NC_007809	51
NC_007810	48
NC_007814	27
NC_007817	5
NC_007818	8
NC_007819	8
NC_007820	8
NC_007821	8
NC_007822	8
NC_007823	8
NC_007824	8
NC_007825	5
NC_007827	8
NC_007856	5
NC_007902	35
NC_007917	55
NC_007924	38
NC_007967	38
NC_008152	40
NC_008193	34
NC_008194	47
NC_008195	61
NC_008196	40
NC_008197	41
NC_008198	43
NC_008199	68
NC_008200	41
NC_008201	34
NC_008202	37
NC_008203	37
NC_008204	66
NC_008205	42
NC_008206	47
NC_008207	124
NC_008208	154
NC_008265	29
NC_008294	3
NC_008296	149
NC_008363	29
NC_008364	21
NC_008367	17
NC_008370	28
NC_008371	30
NC_008376	24
NC_008464	39
NC_008515	216
NC_008562	109
NC_008574	9
NC_008575	7
NC_008583	40
NC_008584	115
NC_008617	41
NC_008689	43
NC_008694	32
NC_008717	20
NC_008720	60
NC_008721	34
NC_008722	30
NC_008723	35
NC_008798	41
NC_008799	36
NC_009014	35
NC_009015	47
NC_009016	28
NC_009018	35
NC_009231	52
NC_009232	22
NC_009234	27
NC_009235	33
NC_009236	34
NC_009237	33
NC_009382	38
NC_009447	45
NC_009514	33
NC_009526	39
NC_009531	31
NC_009540	53
NC_009541	31
NC_009542	32
NC_009543	35
NC_009551	25
NC_009552	30
NC_009554	30
NC_009603	48
NC_009604	35
NC_009643	16
NC_009737	27
NC_009760	151
NC_009761	38
NC_009762	39
NC_009763	36
NC_009799	23
NC_009803	51
NC_009804	51
NC_009810	39
NC_009811	89
NC_009812	37
NC_009813	44
NC_009814	32
NC_009815	39
NC_009816	36
NC_009817	68
NC_009818	21
NC_009819	35
NC_009820	41
NC_009821	183
NC_009875	18
NC_009877	36
NC_009878	38
NC_009904	97
NC_009935	29
NC_009936	19
NC_009990	36
NC_009993	45
NC_010105	223
NC_010106	50
NC_010116	50
NC_010147	42
NC_010179	46
NC_010237	42
NC_010275	27
NC_010324	83
NC_010325	35
NC_010326	31
NC_010353	25
NC_010355	49
NC_010363	21
NC_010391	28
NC_010392	30
NC_010393	34
NC_010429	3
NC_010463	28
NC_010495	46
NC_010576	58
NC_010583	126
NC_010807	24
NC_010808	44
NC_010811	183
NC_010821	261
NC_010945	35
NC_011019	42
NC_011020	39
NC_011021	37
NC_011022	38
NC_011023	33
NC_011038	29
NC_011039	46
NC_011040	34
NC_011041	131
NC_011042	29
NC_011043	23
NC_011044	69
NC_011045	25
NC_011046	30
NC_011048	14
NC_011054	41
NC_011055	49
NC_011056	48
NC_011057	61
NC_011085	31
NC_011103	39
NC_011104	28
NC_011105	28
NC_011107	31
NC_011142	44
NC_011165	50
NC_011166	48
NC_011167	45
NC_011201	26
NC_011216	32
NC_011222	34
NC_011267	34
NC_011269	124
NC_011270	123
NC_011271	128
NC_011272	122
NC_011273	146
NC_011285	43
NC_011287	42
NC_011288	42
NC_011289	41
NC_011290	40
NC_011291	43
NC_011292	38
NC_011308	26
NC_011318	29
NC_011344	42
NC_011356	38
NC_011357	40
NC_011373	19
NC_011398	44
NC_011399	7
NC_011421	93
NC_011523	12
NC_011534	27
NC_011551	30
NC_011589	28
NC_011611	26
NC_011612	37
NC_011613	29
NC_011614	43
NC_011645	31
NC_011703	47
NC_011756	50
NC_011801	37
NC_011802	29
NC_011810	52
NC_011811	84
NC_011976	36
NC_012027	69
NC_012091	3
NC_012092	2
NC_012093	2
NC_012223	34
NC_012418	27
NC_012419	14
NC_012530	130
NC_012635	216
NC_012638	213
NC_012662	34
NC_012663	58
NC_012696	50
NC_012697	52
NC_012740	185
NC_012741	224
NC_012742	26
NC_012743	52
NC_012749	85
NC_012753	33
NC_012756	29
NC_012757	9
NC_012784	47
NC_012788	37
NC_012868	8
NC_012884	28
NC_013021	62
NC_013055	27
NC_013059	28
NC_013085	151
NC_013152	24
NC_013153	25
NC_013154	25
NC_013155	27
NC_013195	35
NC_013197	16
NC_013594	26
NC_013597	41
NC_013598	24
NC_013599	22
NC_013600	29
NC_013638	33
NC_013643	40
NC_013644	35
NC_013645	32
NC_013646	40
NC_013647	22
NC_013648	40
NC_013649	25
NC_013650	127
NC_013651	39
NC_013691	53
NC_013692	48
NC_013693	127
NC_013694	36
NC_013696	35
NC_013697	132
NC_013698	41
NC_013936	39
NC_014036	174
NC_014229	29
NC_014260	220
NC_014457	57
NC_014458	49
NC_014459	50
NC_014460	39
NC_014461	71
NC_014467	166
NC_014595	233
NC_014635	188
NC_014636	229
NC_014660	184
NC_014661	147
NC_014662	203
NC_014663	151
NC_014792	224
NC_014900	29
NC_014901	44
NC_015157	147
NC_015158	42
NC_015159	41
NC_015208	24
NC_015209	10
NC_015210	65
NC_015249	30
NC_015250	162
NC_015251	312
NC_015252	34
NC_015253	82
NC_015254	37
NC_015262	35
NC_015263	91
NC_015264	28
NC_015265	40
NC_015266	38
NC_015269	118
NC_015270	18
NC_015271	22
NC_015272	58
NC_015273	23
NC_015274	46
NC_015279	167
NC_015280	105
NC_015281	128
NC_015282	150
NC_015283	113
NC_015284	110
NC_015285	134
NC_015286	133
NC_015287	173
NC_015288	134
NC_015289	133
NC_015290	145
NC_015292	86
NC_015293	31
NC_015294	65
NC_015295	35
NC_015296	139
NC_015297	6
NC_015453	31
NC_015454	34
NC_015456	44
NC_015457	214
NC_015463	54
NC_015464	120
NC_015465	26
NC_015466	42
NC_015568	33
NC_015569	156
NC_015584	65
NC_015585	28
NC_015586	6
NC_015719	25
NC_015720	33
NC_015721	22
NC_015785	6
NC_015933	50
NC_015937	109
NC_015938	107
NC_016071	150
NC_016073	140
NC_016158	32
NC_016160	25
NC_016161	33
NC_016162	9
NC_016163	252
NC_016164	23
NC_016165	34
NC_016166	43
NC_016434	61
NC_016435	57
NC_016562	133
NC_016563	109
NC_016564	66
NC_016565	17
NC_016566	26
NC_016567	57
NC_016568	25
NC_016569	40
NC_016570	144
NC_016571	233
NC_016650	42
NC_016651	13
NC_016652	40
NC_016653	26
NC_016654	27
NC_016655	47
NC_016656	28
NC_016657	32
NC_016658	34
NC_016659	35
NC_016761	28
NC_016762	31
NC_016763	26
NC_016764	34
NC_016765	28
NC_016766	63
NC_016767	38
NC_016770	34
NC_017674	47
NC_017688	27
NC_017695	30
NC_017696	29
NC_017698	30
NC_017702	31
NC_017732	36
NC_017864	28
NC_017865	27
NC_017968	36
NC_017969	107
NC_017971	39
NC_017972	247
NC_017973	32
NC_017974	122
NC_017975	122
NC_017976	30
NC_017978	23
NC_017980	13
NC_017981	39
NC_017983	24
NC_017984	63
NC_017985	29
NC_018083	13
NC_018084	16
NC_018085	38
NC_018086	44
NC_018087	187
NC_018088	94
NC_018264	48
NC_018269	26
NC_018270	30
NC_018271	31
NC_018272	28
NC_018273	25
NC_018274	23
NC_018275	30
NC_018276	40
NC_018277	34
NC_018278	27
NC_018279	37
NC_018280	34
NC_018281	38
NC_018282	48
NC_018283	42
NC_018284	31
NC_018285	36
NC_018452	48
NC_018454	28
NC_018831	57
NC_018832	36
NC_018834	31
NC_018835	91
NC_018836	47
NC_018837	92
NC_018838	29
NC_018839	35
NC_018840	35
NC_018841	33
NC_018842	34
NC_018843	77
NC_018845	34
NC_018846	40
NC_018847	31
NC_018848	41
NC_018849	29
NC_018850	38
NC_018851	31
NC_018852	32
NC_018853	30
NC_018854	53
NC_018855	204
NC_018856	106
NC_018857	108
NC_018859	85
NC_018860	98
NC_018861	128
NC_018862	4
NC_018863	109
NC_019398	167
NC_019399	212
NC_019400	146
NC_019401	387
NC_019402	92
NC_019403	39
NC_019404	39
NC_019405	162
NC_019406	179
NC_019407	169
NC_019408	181
NC_019410	186
NC_019411	179
NC_019414	49
NC_019416	25
NC_019417	38
NC_019418	39
NC_019419	31
NC_019420	31
NC_019421	40
NC_019422	27
NC_019423	55
NC_019442	40
NC_019443	113
NC_019444	139
NC_019445	36
NC_019446	32
NC_019447	29
NC_019448	123
NC_019449	27
NC_019450	60
NC_019451	55
NC_019452	137
NC_019453	2
NC_019454	35
NC_019455	41
NC_019456	39
NC_019457	35
NC_019485	48
NC_019486	37
NC_019487	103
NC_019488	26
NC_019489	33
NC_019490	58
NC_019496	29
NC_019500	220
NC_019501	30
NC_019502	37
NC_019503	212
NC_019504	60
NC_019505	214
NC_019506	33
NC_019507	188
NC_019508	29
NC_019509	42
NC_019510	25
NC_019511	126
NC_019512	26
NC_019513	39
NC_019514	50
NC_019515	62
NC_019516	116
NC_019517	139
NC_019518	34
NC_019519	44
NC_019520	24
NC_019521	182
NC_019522	35
NC_019523	16
NC_019524	39
NC_019525	42
NC_019526	368
NC_019527	29
NC_019528	28
NC_019529	78
NC_019530	140
NC_019538	311
NC_019539	21
NC_019540	36
NC_019541	40
NC_019542	30
NC_019543	166
NC_019544	34
NC_019545	35
NC_019548	7
NC_019549	22
NC_019550	28
NC_019704	30
NC_019705	26
NC_019706	28
NC_019707	3
NC_019708	27
NC_019709	31
NC_019710	29
NC_019711	39
NC_019713	48
NC_019714	28
NC_019715	31
NC_019716	33
NC_019717	32
NC_019718	49
NC_019719	32
NC_019720	30
NC_019721	25
NC_019722	44
NC_019723	37
NC_019724	29
NC_019725	44
NC_019726	116
NC_019767	30
NC_019768	32
NC_019769	22
NC_019782	46
NC_019813	36
NC_019909	207
NC_019910	134
NC_019911	40
NC_019912	30
NC_019913	56
NC_019914	39
NC_019915	41
NC_019916	26
NC_019917	49
NC_019918	60
NC_019919	128
NC_019920	3
NC_019921	38
NC_019922	3
NC_019923	24
NC_019924	35
NC_019925	135
NC_019926	36
NC_019927	32
NC_019928	19
NC_019929	159
NC_019930	38
NC_019931	27
NC_019932	21
NC_019933	25
