Genome	TP	FP	FN
NC_001798	33	106	44
NC_030692	3	1	3
NC_027892	2	2	4
NC_029642	2	2	4
NC_001607	2	1	4
NC_001422	5	1	4
NC_029549	1	0	0
NC_029550	1	0	0
NC_029551	1	0	0
NC_029552	1	0	0
NC_029553	1	0	0
NC_029570	1	0	0
NC_029554	1	0	0
NC_029558	1	0	0
NC_029559	1	0	0
NC_029560	1	0	0
NC_029561	1	0	0
NC_029572	1	0	0
NC_029573	1	0	0
NC_029567	1	0	0
NC_029562	1	0	0
NC_029568	1	0	0
NC_029563	1	0	0
NC_029564	1	0	0
NC_029565	1	0	0
NC_029566	1	0	0
NC_029556	0	1	1
NC_029557	1	0	0
NC_029569	1	0	0
NC_029574	1	0	0
NC_029575	1	0	0
NC_029578	0	3	0
NC_029617	3	1	0
NC_030691	0	3	6
NC_017862	2	2	5
NC_017936	1	1	1
NC_017937	3	3	5
NC_017938	0	1	1
NC_017939	1	0	0
NC_029648	2	0	4
NC_017977	0	1	2
NC_017967	1	0	1
NC_017970	0	2	2
NC_017988	1	0	0
NC_017989	1	0	0
NC_017987	2	0	4
NC_017993	2	2	5
NC_017994	1	3	6
NC_029691	2	3	4
NC_017916	1	1	4
NC_017914	0	3	5
NC_017917	1	2	3
NC_017913	1	1	1
NC_011348	1	1	4
NC_017995	2	2	5
NC_017996	1	3	6
NC_017997	3	1	4
NC_017990	1	0	0
NC_017991	1	0	0
NC_029803	2	0	0
NC_029804	2	0	4
NC_029783	7	1	5
NC_029782	1	0	0
NC_029797	0	2	3
NC_029799	1	0	0
NC_029800	2	0	0
NC_038232	2	0	0
NC_029802	1	0	0
NC_029801	0	2	2
NC_018072	2	0	0
NC_018071	2	0	0
NC_018070	0	1	1
NC_029853	0	6	2
NC_029852	1	3	3
NC_029854	1	0	0
NC_018074	4	1	2
NC_018075	2	3	4
NC_018076	3	1	3
NC_029994	2	0	4
NC_029991	1	0	0
NC_029996	73	6	72
NC_029995	1	1	5
NC_029993	1	4	4
NC_029992	3	6	11
NC_029997	52	17	67
NC_029936	1	0	0
NC_029931	1	0	0
NC_029935	1	0	0
NC_029900	1	2	4
NC_029901	1	0	0
NC_037612	0	1	1
NC_037613	2	0	0
NC_029903	0	1	1
NC_037614	1	0	0
NC_037615	2	0	0
NC_029932	1	0	0
NC_029933	0	2	1
NC_036636	0	1	1
NC_029921	1	0	0
NC_029922	0	1	1
NC_029923	1	0	0
NC_029924	1	0	0
NC_029928	0	1	1
NC_029929	0	1	1
NC_029927	1	0	0
NC_029926	1	0	0
NC_035887	2	0	3
NC_035888	2	0	0
NC_029905	0	2	1
NC_029906	0	4	6
NC_029911	1	0	0
NC_029912	1	0	0
NC_029913	1	0	0
NC_029916	0	1	1
NC_029915	0	1	1
NC_029917	1	0	0
NC_029918	1	0	0
NC_029919	1	0	0
NC_029914	1	0	0
NC_029907	1	0	1
NC_037579	0	1	0
NC_037580	0	1	0
NC_037581	2	0	0
NC_037582	1	0	0
NC_037588	0	1	1
NC_037585	0	1	1
NC_037586	0	1	1
NC_037587	1	0	0
NC_029904	1	0	0
NC_037589	0	1	1
NC_037583	1	0	0
NC_037584	1	0	0
NC_029989	2	0	0
NC_029990	2	2	4
NC_030152	0	1	1
NC_030159	1	0	0
NC_030160	0	1	1
NC_030161	0	1	1
NC_030162	1	0	0
NC_030153	1	0	0
NC_030154	1	0	0
NC_030155	1	0	0
NC_030157	0	1	1
NC_030158	0	1	1
NC_030163	0	1	1
NC_030156	0	1	1
NC_030115	1	1	1
NC_030236	1	0	0
NC_030229	2	1	2
NC_030126	1	2	1
NC_030139	2	0	1
NC_030146	1	1	2
NC_030142	1	1	2
NC_030141	1	1	2
NC_030145	0	3	3
NC_030143	2	0	1
NC_030140	0	3	3
NC_030144	1	1	2
NC_030147	2	0	1
NC_030138	2	0	1
NC_030118	1	0	0
NC_030117	50	13	26
NC_030148	7	2	9
NC_030151	3	1	3
NC_030127	2	0	0
NC_030201	2	0	0
NC_030199	1	1	0
NC_030200	45	34	39
NC_030203	1	1	1
NC_030205	4	0	5
NC_030202	1	1	1
NC_030295	1	1	1
NC_030296	1	2	3
NC_030291	0	1	1
NC_030292	6	1	3
NC_030294	3	0	0
NC_030297	1	0	2
NC_030293	0	1	1
NC_030308	1	0	0
NC_018082	1	0	0
NC_018090	0	2	7
NC_018093	1	0	2
NC_030224	2	0	0
NC_030238	2	0	5
NC_030242	1	0	1
NC_030244	0	1	1
NC_030235	2	0	0
NC_030234	1	0	0
NC_030233	1	1	1
NC_030232	1	2	1
NC_030225	0	5	7
NC_030240	54	29	76
NC_030231	3	3	3
NC_030243	1	0	0
NC_030245	1	0	0
NC_030226	1	0	0
NC_030228	0	1	1
NC_030227	1	0	0
NC_030290	0	1	1
NC_023295	3	0	1
NC_027059	1	1	2
NC_023304	0	1	1
NC_023306	0	1	1
NC_023299	1	0	0
NC_023296	1	0	0
NC_027026	0	1	2
NC_027016	43	133	41
NC_027040	2	0	4
NC_027054	1	0	0
NC_023312	2	0	4
NC_026942	1	3	6
NC_026944	2	1	2
NC_026946	2	2	5
NC_026945	1	1	3
NC_026943	3	1	1
NC_027199	3	2	4
NC_027198	1	2	4
NC_027208	2	0	2
NC_027209	1	2	1
NC_027211	1	3	2
NC_027210	1	0	0
NC_027117	1	8	1
NC_027123	1	2	3
