Genome	TP	FP	FN
NC_001798	49	34	28
NC_030692	3	1	3
NC_027892	2	5	4
NC_029642	3	1	3
NC_001607	3	1	3
NC_001422	6	2	3
NC_029549	1	0	0
NC_029550	1	2	0
NC_029551	1	1	0
NC_029552	1	0	0
NC_029553	1	0	0
NC_029570	1	0	0
NC_029554	0	1	1
NC_029555	1	1	0
NC_029558	1	0	0
NC_029559	1	0	0
NC_029560	1	1	0
NC_029561	1	0	0
NC_029571	1	0	0
NC_029572	1	0	0
NC_029573	1	0	0
NC_029567	0	2	1
NC_029562	0	1	1
NC_029568	1	1	0
NC_029563	1	0	0
NC_029564	1	0	0
NC_029565	1	1	0
NC_029566	1	0	0
NC_029556	0	1	1
NC_029557	1	0	0
NC_029569	1	0	0
NC_029574	1	0	0
NC_029575	1	0	0
NC_029578	0	5	0
NC_029617	3	4	0
NC_030691	2	3	4
NC_017862	3	3	4
NC_017936	1	1	1
NC_017937	4	2	4
NC_017938	1	0	0
NC_017939	1	1	0
NC_029648	3	0	3
NC_017977	0	1	2
NC_017967	1	0	1
NC_017970	1	0	1
NC_017988	0	1	1
NC_017989	1	0	0
NC_017987	3	1	3
NC_017993	4	3	3
NC_017994	5	2	2
NC_029691	2	2	4
NC_017916	3	0	2
NC_017914	2	2	3
NC_017917	1	3	3
NC_017913	2	2	0
NC_011348	2	2	3
NC_017995	4	3	3
NC_017996	5	1	2
NC_017997	6	0	1
NC_017990	1	0	0
NC_017991	1	0	0
NC_029803	1	1	1
NC_029804	3	1	3
NC_029783	7	2	5
NC_029782	0	1	1
NC_029797	1	2	2
NC_029799	0	2	1
NC_029800	2	0	0
NC_038232	2	0	0
NC_029802	1	0	0
NC_029801	2	0	0
NC_018072	2	1	0
NC_018071	2	0	0
NC_018070	0	1	1
NC_029853	1	3	1
NC_029852	2	3	2
NC_029854	1	2	0
NC_018074	4	2	2
NC_018075	3	4	3
NC_018076	5	1	1
NC_029994	3	1	3
NC_029991	1	1	0
NC_029996	121	14	24
NC_029995	3	1	3
NC_029993	2	3	3
NC_029992	6	4	8
NC_029997	101	13	18
NC_029936	1	0	0
NC_029931	1	0	0
NC_029935	1	0	0
NC_029900	4	1	1
NC_029901	0	1	1
NC_037612	0	1	1
NC_037613	2	0	0
NC_029903	0	1	1
NC_037614	1	0	0
NC_037615	2	0	0
NC_029932	1	1	0
NC_029933	1	0	0
NC_036636	0	1	1
NC_029921	1	0	0
NC_029922	0	1	1
NC_029923	0	1	1
NC_029924	0	1	1
NC_029925	0	1	1
NC_029928	0	1	1
NC_029929	0	2	1
NC_029930	1	0	0
NC_029927	1	1	0
NC_029926	1	0	0
NC_035887	3	1	2
NC_035888	2	0	0
NC_029905	0	1	1
NC_029906	1	3	5
NC_029911	0	1	1
NC_029912	1	0	0
NC_029913	0	1	1
NC_029916	0	1	1
NC_029915	0	1	1
NC_029917	0	1	1
NC_029918	0	1	1
NC_029919	0	1	1
NC_029914	0	1	1
NC_029920	1	2	1
NC_029907	1	1	1
NC_037579	0	2	0
NC_037580	0	3	0
NC_037581	2	0	0
NC_037582	1	0	0
NC_037588	0	1	1
NC_037585	0	1	1
NC_037586	0	1	1
NC_037587	1	0	0
NC_029904	0	1	1
NC_037589	1	1	0
NC_037583	1	0	0
NC_037584	1	0	0
NC_029989	2	0	0
NC_029990	4	0	2
NC_030152	0	1	1
NC_030159	1	0	0
NC_030160	0	1	1
NC_030161	0	1	1
NC_030162	0	1	1
NC_030153	1	0	0
NC_030154	0	1	1
NC_030155	1	0	0
NC_030157	1	0	0
NC_030158	0	1	1
NC_030163	0	1	1
NC_030156	0	1	1
NC_030115	1	3	1
NC_030236	1	0	0
NC_030229	2	2	2
NC_030126	2	3	0
NC_030139	1	2	2
NC_030146	1	2	2
NC_030142	0	4	3
NC_030141	0	4	3
NC_030145	1	2	2
